source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
arbitrum,avalanche_c,7639.865308,7638.077579517928,0x61055022e6a53b987eb419bc264a8d0d9420369f3a18a575d37be246cc21ddba,37587960,0x3f565d1a7a294593dd707a025af9f2a0505c2ac6,0x36472aa05c41017d2c264d1694a4b47d84aa14dedd35cb9b57ed5db92abb9728,37588001,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0.0,0x22e0604eee9307451d6ff965b4d5842e87fde802e4e2757230405dd2fac9adfa,37588012,0xa2a42b7203b2dc0199b81039c6c4e1ef900e82a4,0.0,0xdf72ee63d00e99a47ef0d18e2f75b84176fefa95d13418efc4b60a2bf2bfbc51,37588898,0x8186359af5f57fbb40c6b14a588d2a59c0c29880,0.0
arbitrum,avalanche_c,165394.685533,165527.33207079745,0x85158adb93dad9d09956c02013ae6785234e79107f3795cc6cd197ab19f83082,37919518,0x53baf808a7091d04fbcd8dbd3377130d40d66a69,0xda125ee357959bd710e2a136f8cb20ecd1ceb76e70c7ef52adc570395f200a0c,37922201,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0.0,0x9c9d7770182a2715fc817a92e1a9bb61d916166644eb0c8f1a10012649c19e9e,37922231,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0.0,0x62c6052bba061dd5dea82be820f932d30e74e6cd071475fabe09111c96f9122a,39408837,0x73d83e86424cd5308d51f2f5f842028535c91071,0.28204377
arbitrum,avalanche_c,30019.731916,30030.208802438683,0x0d35f5aa67ab06d073dd176a5de44b02ead511f727cbb2c04b379e5bda8ab483,69079769,0x05a256ae5ab12f3eddfbb60dbee61ff3bc8d49d0,0xbfdca8b54ff217676b7f7e02caf3025e105315a0bee24493241b55e8db042bb9,69080711,0x28b5a0e9c621a5badaa536219b3a228c8168cf5d,0.0,0xa167f69bbcdd56bf988c5374270aa67c9234b1772403517066b14da8a4cb72d3,69081759,0x8186359af5f57fbb40c6b14a588d2a59c0c29880,0.0,0xc8ae0223b91d050f3306fc255d3584857a3cd5644343222f2808356324a3bd74,69081786,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0.0
arbitrum,avalanche_c,1077.6718,1077.865780924,0x3458cdca866a30d853abf72859fce1842b2714248706aec7822d642892ac8af5,35515186,0x4cb69fae7e7af841e44e1a1c30af640739378bb2,,,,,,,,,,,,
arbitrum,avalanche_c,357395.913031,357515.9980577784,0x99ea8c89e785dc7a7e7fec057875e23cb7aba2e8898a733385115af5534276e8,76004189,0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,,,,,,,,,,,,
arbitrum,avalanche_c,165.765136,165.823485327872,0x970602deab49f7a11a525f3783daf0d0b1d7af451c4af0ceb7a371e646600922,38775630,0x50e45012820386decbd938784ffffc7060de4fdb,0x506269c54075b223bf3c5d2caf5ebeb5e5f79d50432a73c7e9e7b3eaeb0c2975,38775718,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0.0,0x661e51b5c061b7a9f69addb4c05850d0307d4a00e2d0b62817c45abdc5b0453f,38775725,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0.0,0x2ada87237eec877cf1bc7845d2f08aa17f761506598b703bd04469c2d68b8b04,38775739,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0.0
arbitrum,avalanche_c,59.76,59.78856528,0xc89d59995bb6c4013308900e4f9338c1af28b5a649c662dbea795c5a873b0863,49110885,0xe1c14b9f065dead2e89ee35382f8bd42bdb87a04,,,,,,,,,,,,
arbitrum,avalanche_c,5,5.00367,0xf4085204569f410736c3c403c1c6a0a7d9b63fe455b3fd21700ac245f3539265,31845135,0x7c888c0cac0886a4ff6d1a4d26f93bfd9698d618,,,,,,,,,,,,
arbitrum,avalanche_c,10,10.00298,0xac7b13b7a57259fca51ed8aa87d71ab38d4e0a1ceb05e74733890d41b1817e88,55924309,0x88f15e36308ed060d8543da8e2a5da0810efded2,,,,,,,,,,,,
arbitrum,avalanche_c,8.340604,8.341379676172,0x92518166ebf797b7a6a3396c0115c0d7827c04fbdb851d24db6877cd1e7d4745,69141703,0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,,,,,,,,,,,,
