source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
arbitrum,hyperliquid,9364.4812,9361.1755381364,not_found,,0xff8850989681b1163cbaf0b0f6b719c1c663dc25,,,,,,,,,,,,
arbitrum,hyperliquid,79.427021,79.409864763464,not_found,,0xdcb43acc245f26a3032328d3dd90322a53070d28,,,,,,,,,,,,
arbitrum,hyperliquid,109.824425,109.82508394655,not_found,,0x8cfcc05e00e61366dba1bf6dceff9da2b77a3626,,,,,,,,,,,,
arbitrum,hyperliquid,1700,1699.8283,not_found,,0xe7645f90271769bb7cf6c54580c01ad84bbd23b3,,,,,,,,,,,,
arbitrum,hyperliquid,354.69,354.59671653,not_found,,0x428cbb506337bcc550f02bd3689671f52a7fa766,,,,,,,,,,,,
arbitrum,hyperliquid,766.55,766.6151567499999,not_found,,0xddb81b2279496610fd690bc78e0276c9005381cf,,,,,,,,,,,,
arbitrum,hyperliquid,80000,79985.44,not_found,,0x5ea0b8e4f6edd3c3ccc13410d3b9009a878737d7,,,,,,,,,,,,
arbitrum,hyperliquid,30.67015,30.671162114949997,not_found,,0x49135e0d2571f9d3ff68e830a89fff7c146b9bf6,,,,,,,,,,,,
arbitrum,hyperliquid,971.462714,971.2548209792039,not_found,,0xf032648dfd22c4d81588bd83e09ab89cfe816705,,,,,,,,,,,,
arbitrum,hyperliquid,44.66,44.655757300000005,not_found,,0xcf1a349476594d1a10d03186891b84e932d0cf84,,,,,,,,,,,,
arbitrum,hyperliquid,205.402778,205.386551180538,not_found,,0x7f0fa0bab21c6749f12116aa8cbab7bbae8f50f2,,,,,,,,,,,,
arbitrum,hyperliquid,770,769.83522,not_found,,0x0753400e4b82b2c271d11f9c6fca8d86fd1dc972,,,,,,,,,,,,
arbitrum,hyperliquid,999.99,999.85600134,not_found,,0x88c9862d40c6232632868f378968586768f8f0d5,,,,,,,,,,,,
arbitrum,hyperliquid,1250.1158,1250.0557944415998,not_found,,0x8cfcc05e00e61366dba1bf6dceff9da2b77a3626,,,,,,,,,,,,
arbitrum,hyperliquid,5.63,5.630309649999999,not_found,,0x844b12da4469bf9cd06d0a27c14730d76def81d8,,,,,,,,,,,,
arbitrum,hyperliquid,20005.33,20004.60980812,not_found,,0x811e8f6d80f38a2f0f8b606cb743a950638f0ad4,,,,,,,,,,,,
arbitrum,hyperliquid,110.875266,110.88202939122601,not_found,,0xf032648dfd22c4d81588bd83e09ab89cfe816705,,,,,,,,,,,,
arbitrum,hyperliquid,570.85,570.872834,not_found,,0x8cfcc05e00e61366dba1bf6dceff9da2b77a3626,,,,,,,,,,,,
arbitrum,hyperliquid,75,74.997075,not_found,,0x818dc1ffa20f398c8abc79bb2c051f4283864469,,,,,,,,,,,,
arbitrum,hyperliquid,261.224341,261.19612877117197,not_found,,0xf032648dfd22c4d81588bd83e09ab89cfe816705,,,,,,,,,,,,
arbitrum,hyperliquid,299.99,299.96480084,not_found,,0xc94ee95d6d243851603878a8a078dadcb3bb4dd8,,,,,,,,,,,,
arbitrum,hyperliquid,183.4592,183.48873693120004,not_found,,0x8cfcc05e00e61366dba1bf6dceff9da2b77a3626,,,,,,,,,,,,
