source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
arbitrum,optimism,3.156769,3.156248133115,0x247fac50f393992d502263629505a94bc317a6fb19d41c7549c65a3c7e3ac61d,119019393,0xe1c14b9f065dead2e89ee35382f8bd42bdb87a04,0xabe64819cc0cf56d41f0d58eb5fa970da8d7c9f4c83671b8dd136fe32a66d771,119019443,0x6d7bd5c0c207cba1377f58048aa5f8c5cd933613,88.673012,0x55713a87c2d731f1ecd69a3fc0f30f4bbb0e3d736b331b9a2ea2380234c069b4,119019483,0x152f823fe4c5ae70951845cbb20ca45470d9cede,7.853336,0x0b586f3737571147aaa2cac49ed68249df91f56d291ca00cc634a2972465627f,119019488,0x6d7bd5c0c207cba1377f58048aa5f8c5cd933613,3.14517
arbitrum,optimism,880.246082,880.996931907946,0x5ea5b2344960f6df77bcf3b80365a75dc9413b763ee54f73237b86bc06d452f9,119038943,0x3477a78019a414340aae2a7f83b25cd84344f44a,0x903719acc87cbee0eec4bb89b753340a983367515b1e9ea621cc49e2b5839e31,119045974,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,880.246082,0xfd5dd19ca374c39e691b086a14a731be433014fc998fde0376c6758d1d973d78,119077543,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,876.563666,0x325b7790d87384555db2a2cfd5bedd83c62b474871b77642cbe671db0c7e100e,119093695,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,873.330102
arbitrum,optimism,253.49373868335422,254.21898426972731,not_found,,0x0212e2a1944578c0c77c84dc0c916eff10454f0d,,,,,,,,,,,,
arbitrum,optimism,0.02,24.6346,not_found,,0xccd4abc819b00520d9b0eda35185757eddf80c65,,,,,,,,,,,,
arbitrum,optimism,0.002916602874405028,5.591740196838064,not_found,,0xdaedd315dbc119bece733e479bb58ce1a4076d9e,,,,,,,,,,,,
arbitrum,optimism,0.0178,28.680784,not_found,,0xff32dc68e5ac8dd8783c0491b907409013e6c728,,,,,,,,,,,,
arbitrum,optimism,0.023342041825196055,29.94177073085199,not_found,,0x5ddbed230b39b3173069913e444df64a8102f430,,,,,,,,,,,,
arbitrum,optimism,0.133047,264.70099791,0x29e2292392826011e3939694c775afb14a2dba7d4f2b706f623ec59a18e9afaa,133436972,0x65f9236a4ec0ee2fe6967173543e32391b9fb00c,0x96127d5872229e12a57ce784c78913ccef122d9e38f1006a8c38b05c85d2b847,133436994,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.133028,0xa6b677105db0fe5084396c49bc4005ebe50dd0ebe1066043e0976d53bce4ea05,133437052,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.132991,0x4ff04d7a68e387dc63cd5626a27d8d4289bd7e0011fb9f48cd12e5550d8e9975,134287071,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.164897
arbitrum,optimism,6325.891995,6326.7143609593495,0xc1fcf7b9c59fa11704b450f27e4da1a8d3192629716cd205a4e7bedb37d7859c,136315015,0x595eebc23be80f77708de66db9eb9da3a66219d2,0x5fd8a008ec5ba3d2893822f21e11037d7c3bde951240370e9c530f431d3ce9a1,136315036,0x1dd9eef96646ad40d58da28d1878e7f223d5e8ba,0.00057,0x5fd8a008ec5ba3d2893822f21e11037d7c3bde951240370e9c530f431d3ce9a1,136315036,0xf70da97812cb96acdf810712aa562db8dfa3dbef,6325.165219,,,,
arbitrum,optimism,2470.0116,2473.4992563792,0x67726238e5101f97948f40cee84a84ed814a7d07350eb77797250a62c1235c36,121803116,0x63ff3eae92df7b77a6109d17e848b8d2623b3376,0xdf75c818fa254dbd64c3655c525c00f8a80515c426bdca75b8ad2e26220e98cc,121803139,0xef4fb24ad0916217251f553c0596f8edc630eb66,773.0,0xdf75c818fa254dbd64c3655c525c00f8a80515c426bdca75b8ad2e26220e98cc,121803139,0xef4fb24ad0916217251f553c0596f8edc630eb66,0.001,0x4cb7d2ced0e926f8fedd6c6e765c6efa2466a7192421f0e59a5b33e52eb0c15c,121803455,0xef4fb24ad0916217251f553c0596f8edc630eb66,1325.0
arbitrum,optimism,2461.947139,2461.474445149312,0x16ce5cd05ba4104038f71395a753dd58f4175ce8dcb689f84b25b63c312f922c,120165757,0xec3e330b57a77353ba3c50c36040a86add3feae1,0x4f70a025fa99cfe6cbbc4353b9a946dbd993658807ccdb960ff900ccdcef290b,120166542,0xd8b73d634bd6f6d7d1e992551ab7e06e4c21b171,2461.432647,0xdcf88c052c0b1dcbd4e9a966fb86d4c85d667ead514aabd503064c0aa665a667,120166587,0x0cb9612fb90da03c3bba8f79ee02f9f7fbacc521,2461.268772,0xe2555b34208567b912bb45776d8af9a00ce987e9606c71e354b937d7db17874c,120166659,0x1063df54975cf2c522293def1c41ca6e25f15c1d,2461.117972
arbitrum,optimism,0.034409053450758634,117.03207259672025,not_found,,0x243a3f33c844769579e69cda6570be52d0ac2586,,,,,,,,,,,,
arbitrum,optimism,0.03083963567225901,77.55397380681335,not_found,,0x0dea2df261a5e496ed8d85aa7f9f14db2c2d0cfe,,,,,,,,,,,,
arbitrum,optimism,0.03025000000000901,79.09013750002356,not_found,,0x9458c54a975e7d61c9fb7103553692a590c28e08,,,,,,,,,,,,
arbitrum,optimism,0.344562357612739,815.7134797888222,not_found,,0x2d47eed7faabc53969de82a631fa5ee4c1f989a2,,,,,,,,,,,,
arbitrum,optimism,0.326114905127339,774.043510766893,not_found,,0x3c55b431ed73703fbc0d7f31ed02e9f98f56a46b,,,,,,,,,,,,
arbitrum,optimism,0.011200000000009008,20.575632000016547,not_found,,0xa0efd27acc781549d5b78e89e561aa0903932d56,,,,,,,,,,,,
arbitrum,optimism,0.317903952673749,831.8084083289713,not_found,,0x4e8378564641ab49d781d495819b0d35edd19fa0,,,,,,,,,,,,
arbitrum,optimism,0.03024000000000901,73.80253440002198,not_found,,0x83c36d5a3e7677e019105577d873ef0d4316e6f3,,,,,,,,,,,,
arbitrum,optimism,0.100700000000009,156.34984100001398,not_found,,0xa7a9e6137d2582fc8bddad6a6daeb8fb985396f2,,,,,,,,,,,,
arbitrum,optimism,0.006268000000009007,11.451197240016455,not_found,,0x3b4ef4380aaeb78f996c9cabdbace3958ac1f54d,,,,,,,,,,,,
arbitrum,optimism,0.005700000000009007,10.604679000016757,not_found,,0x4750c34a946a471616522eb2d3ed218cc837aa3f,,,,,,,,,,,,
arbitrum,optimism,0.39500802725884904,1028.4547500119572,not_found,,0x5958c6fe0dc58cebb9514876d40597626362a8a6,,,,,,,,,,,,
arbitrum,optimism,0.001100000000009007,3.481566000028508,not_found,,0x9458c54a975e7d61c9fb7103553692a590c28e08,,,,,,,,,,,,
arbitrum,optimism,0.03024000000000901,73.31173920002183,not_found,,0x1d73edcf34af0b192111754b6341a5dd797893b6,,,,,,,,,,,,
arbitrum,optimism,0.010949000000009009,20.056925650016503,not_found,,0xce9c6bec0062ba6cd9744820b91f9fa94ab58a97,,,,,,,,,,,,
arbitrum,optimism,0.100240000000009,268.0978944000241,not_found,,0x88108710df18b293fcabb4f9fa089ddfc7de7b15,,,,,,,,,,,,
arbitrum,optimism,0.24396677160979902,607.2674498848152,not_found,,0x4899ab3562163f4302028958fc01b34721a7c909,,,,,,,,,,,,
