source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
arbitrum,polygon,0.001,2.90206,not_found,,0x4098720d7fc43731c8f01665ec4e5c53dd8c5182,,,,,,,,,,,,
arbitrum,polygon,0.0105,24.801525,not_found,,0x21ff74108230e339553b4c905e63ab1c201e01a0,,,,,,,,,,,,
arbitrum,polygon,0.000415946667530989,1.3523757190768553,not_found,,0xe862c99946831c6c1ab349ff9c862e36f0eec20f,,,,,,,,,,,,
arbitrum,polygon,4.943813,4.945661986062,0xd2a4b83c79b4cebdd67bb2402ac023102cbf571badfa993598b6be2495291cc8,62857933,0x89f423567c2648bb828c3997f60c47b54f57fa6e,0x946ad74082711d0935559cc138a798fae0c03fc18b7988ad50f20deecbabf6b5,62857945,0xa28062bd708ce49e9311d6293def7df63f2b0816,0.004795,0x946ad74082711d0935559cc138a798fae0c03fc18b7988ad50f20deecbabf6b5,62857945,0x7a8f557916d99945eaf2f8763935a70bdc81f650,4.939017,0x3783e29535dba5f083433e64e949e4f3cd9fc88abb95d8ab7cb318a258d243b6,62857958,0x6d3021e901aa2b9f4d960d986d380d04699360ec,0.458362
arbitrum,polygon,2119.127378,2119.557560857734,0xb84f896afc6555c23061d433dff2b22290e311778a832f57e7406666d8653b38,54401233,0xe0a8521c9a456587b274106a63ecaf9faf347016,0x8e55f4997ed91221e021be6e5a3c6c290fa4ed583df2083e5c6fdea0f92f6826,54401563,0xb6e57ed85c4c9dbfef2a68711e9d6f36c56e0fcb,1500.0,0x91f50a2b07544dc7ee9d973f8ed57bd9c260a2186211f1fdbbc2853e5df7b030,54401658,0xb6e57ed85c4c9dbfef2a68711e9d6f36c56e0fcb,620.156216,0x1118e4b96941eadf41f5e60bc391c4f45565e68f608a468fb0e61b261fe81ad2,54401890,0x1e5bd2ab4c308396c06c182e1b7e7ba8b2935b83,154.77853787792588
arbitrum,polygon,0.0007,1.849372,0x4627e6aa21a60b3a78d5a19d5dc4bb15fc75386485cc3dc265afa3f8ff702ceb,67670245,0x36260baa84add0835c546e5dcbaeaefe8f387c83,0xcd564ce45d75cc99c581b291644b6e02cc4339e38ee7d3ef090a3e5c878f5d63,67670291,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.00069934045174591,0x7309efc842a6dbe6c20807c63afaedc5d7eb7bb410f177beb4a8245bb2b08ab2,67671422,0x0000000000000000000000000000000000000000,525.7378701198883,0x7309efc842a6dbe6c20807c63afaedc5d7eb7bb410f177beb4a8245bb2b08ab2,67671422,0xeff20f438d958b45683199c23e794e3603f1b1b1,0.7116303333394015
arbitrum,polygon,0.001,2.93825,not_found,,0xabd072e18e652c52d70ebed1c00aefc5f4f426b9,,,,,,,,,,,,
arbitrum,polygon,8.448243,8.459724162237002,not_found,,0x900ab577d45ab152486a527f5f172a35675f82ad,,,,,,,,,,,,
arbitrum,polygon,101,101.09292,0x923b28c50e05c6d2c34605146ac71f20000b00535c756357a7ee9110c0e8617f,36115027,0x375bd14af1f4d0c042fa4e0248cec0ae8e790fbb,0x85f1deefa9af93290e98aadbd567705044aae8e9ce6d307656511f1ffb9899ed,36115158,0xeb03440702bb6de23c63ad1c5a24598433f59f86,0.001680825464735195,0x899201c3a27aae4e2c9acf08d5c9833458e8559b6e720c0eaa75435ebe77ef4e,36137734,0x8e118008146dd9ac5f4b61921a0f716f0da36204,100.0,0x841b9153c527a46b361b3ac126c4e2c296423bf11d1a97ce99f5c5b561e02da9,36290476,0xfba3b7bb043415035220b1c44fb4756434639392,100.314717
arbitrum,polygon,60.638622,60.814959112775995,not_found,,0xa9ca0ef499e0ca85b96ef4c73536c57c9b9fa4bd,,,,,,,,,,,,
