source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
base,arbitrum,0.0019825,4.4355662,0x6c906bc331010e7e1a4df0d3c654202908e2db76f9d8d473b9d49b57306ef01b,311042630,0xe58234b802a5643ea8dd490f11dbccc316fd9d6a,0xc39165bd752562eff4104b7727fba2c460ee402511f25af65f8a40d2c51110b6,311046519,0xa51afafe0263b40edaef0df8781ea9aa03e381a3,0.00197,0xcd67425cc1f1c1dcdb1d6a174b797569b86bde03e4a437bbb24dd4829a1817f1,311048182,0x4ab561d5c106cb6bc087b42f31dd7694e1a50e3e,250.0,0xa2cb41fd81740ea8bbc04ca82dabd46607a9b72e260a18ae1a4020c2fed480d5,315484988,0xa51afafe0263b40edaef0df8781ea9aa03e381a3,0.007454670294005447
base,arbitrum,25.789813,25.784061871701002,0x355338ed2a30139fbb9cdac238b3a5532a8496d61fb591ed78aae6971e4a2ab4,312116653,0x122c2992a955a97cafd9f55674a26612852a3276,0xd3f1279d99549a0ee878ab0aa4e3483ef07d412fb57a754ba68291c4cd15d5ea,312117090,0xa51afafe0263b40edaef0df8781ea9aa03e381a3,0.064,0x63781ccd05672a6332a81d67d964bca36dea5042f4ac3f9d0163c8b589d1ea8a,312117271,0xbe3ad6a5669dc0b8b12febc03608860c31e2eef6,133.946132,0x142c0860e8c83bd8e63add14ddcbcff68856e9f9ffdec7fdf715c3a32853c87e,312117438,0x2df1c51e09aecf9cacb7bc98cb1742757f163df7,159.64
base,arbitrum,2000.276095,2001.3902487849148,0x3f0fffc6df813fb9c47dfedf0557c89626d0b3399b11094544e4c581c6e38013,321287906,0xfbfd359955fab54a375602b4f5fa1d1f766eb8c9,0x8f3552dbad41fe32e40b80c5969bffc220f0cde3dd67cf7a2f02121e600d765e,321287951,0x2df1c51e09aecf9cacb7bc98cb1742757f163df7,2000.03,0x99f83ff705c7cdf872a6894a20652097fe187866b9d1b10f4a56eeddec61e7d1,321414106,0x2df1c51e09aecf9cacb7bc98cb1742757f163df7,2999.89,0x1b15a96c849cb15498738fa8db4513e8df7c7b49618b9815abaf982e1fbfbca3,322510379,0xb8fc6bf89e16e66b5fa9aa44b8393a588cf1e77c,1.0
base,arbitrum,0.021,39.56064,0xb072793b1c1d12d2148ecf7c0acf5f9fbcd544ce9a98384ab5eab3d91e082b88,322018328,0x888359fa05959d85a83d5705171ae87d6ae5428c,0xe3f29d76bd2c89b9605d5749fd79c82ac5fb288fb1fd514e31fad61b1b5ef0b7,322085706,0x23981fc34e69eedfe2bd9a0a9fcb0719fe09dbfc,0.015,0x1ce2c5824daffb66c5d8bf7c909bdf0d0af1b75a50baf79900c762ce14448b3f,322192097,0xa669e7a0d4b3e4fa48af2de86bd4cd7126be4e13,0.011,0x6c2aaa21af9c42b560a871e56a744743bfd5b3fa3aac9ba0d07fd4b2fa7f154a,322203937,0x0a2854fbbd9b3ef66f17d47284e7f899b9509330,1.493892
base,arbitrum,5.116125,5.119890468,0x065a6e56e57d053c2e770e41714c808398daee8e50c3d27e3ce4d067774e5f2f,324343270,0xeeb17adefd06a3c67abd4adf7e42978b1f018c8e,0xea9929be83bc5f0e9e74f930022e86db6fed5c2bc612d1d1d2f1d42f442edc97,324344400,0x3a23f943181408eac424116af7b7790c94cb97a5,25.69,0x51ed89b705b09b6cf8fc3e99a80a934e60645f0d92b4f537bbed326a97ace64a,324344952,0x02eb979b7231dbccc892c7bdd398c6f4adaf63e2,9.825752,0x9d66eec8ccbd76da1a1ea8a2f4dc2bae04085a7b01a236574b7929196fbdabcf,324349859,0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,9752.27
base,arbitrum,0.005,8.17775,0xfbd8cb3006e59f59716e1ee539e2dd3c3e62204e88a94a2ebdcc5e8c20c36ac7,329046807,0x40884b401ad3cab92a0cf09aaf32d55f7173e204,0xb15fe7a86acc84ca67497fccf27ecdaa031b923aeeb3b26ac2a2fba287bb079e,329059882,0xfca99f4b5186d4bfbdbd2c542dca2eca4906ba45,0.004510370263096598,0x6e8f3faae0255a279c12562be759d4a61f139158ac8ac80a8d85a66a333cc73e,329989030,0xad2822d264f0b07fe6ce1f800f181828ee635b2f,3e-05,0x639e9a3c2f2a0625c42eee45df1551bc01f44b85b42959211b842d998284e0a0,329992694,0x0194005c12afef410ab71355dc7c324a136f871c,0.000444243474087159
base,arbitrum,0.129497,233.18654287,0xe6d5a602a4c0dd39527ebbd3f8303908c76dd695583919bf825698f055722e00,331623317,0xdb5fb7b671e31fc667560475353d1c1fedfc4b49,0xea3398b1fc4544079eef2e8178ff3d0284e0c14b9b3b60a4af451e36e92355ca,331629737,0x5e325eda8064b456f4781070c0738d849c824258,0.01,0xddc7c14e1f6fd2f3e5e82b780be4c182c6fb29d825fa054f15d542a154da0a4a,331630666,0xde9e4fe32b049f821c7f3e9802381aa470ffca73,40.515,0xd2daf07844041171ea22f58783dbe3759d93399ad158fe29beb66c7b1861a8b2,331631281,0xde9e4fe32b049f821c7f3e9802381aa470ffca73,14.533899
base,arbitrum,0.014343325642966503,38.00536652291191,0xb2ba662c6966bc40c550375aebfc468301f1b83a4fc55fe8c44176c2f33a3695,343864122,0x5d9e2339a748cd1a44e01304840263d6e294fd9b,0xd012520c17f700636f1f1a227c7114aaa7f152518a25ade050134cdf60a066cd,343864204,0xfb1b08ba6ba284934d817ea3c9d18f592cc59a50,0.0147,0x368335bd66cb668dc84db17941df726b28a7f3b67c6b0ca00a070e324b1b8808,343864291,0x0000000000000000000000000000000000000000,38.810603,0x368335bd66cb668dc84db17941df726b28a7f3b67c6b0ca00a070e324b1b8808,343864291,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0.00021096206266375
base,arbitrum,0.0064,15.779135999999998,0x47b2c15ec96e1c6c8476619a7658d29de62822b140dadfed3a6d5c0ed0d5d25e,344457492,0x26014337c41cbe5aa9b6001f3958a06c6a5815f6,0xf387bb7956cd9e58439c8b52c3663a32acd05e5d9c10aeaf69cc42795a0452ae,344460217,0xe35e9842fceaca96570b734083f4a58e8f7c5f2a,0.0063,0x586c80912deaa0836936bd1b0bbbdb49a1bd592ef2d1fac685766d4215eb1ee7,415520853,0xe6b2af3381c00e45a224aec94bcc6c3783128a37,9.4594823578009e-05,,,,
base,arbitrum,0.0014527,3.972655109,0x3c1dbe3564b581372b9a5f346658a635e25de05d5f9285dc0e028509b1082ce4,345915510,0xb4ce21e4b7b6c9efc4994aba8f937ca40e8dc7d1,0x3cf8d489652a6f0622ddd58d851a082cf15e6f1b14f11d8768be19cd94b1cbb1,345916425,0x758b67fcb27c0e4cb467509ca9aefe2e20ada559,0.001437142127713024,0x79307f975c98ff741e745da47769c6bb7a81e7c36c4c24be1ff527a43a5b999a,372106405,0xa5f565650890fba1824ee0f21ebbbf660a179934,9e-05,0x9d9623b72d0079ae16372c35b66928ac99cff03b95f85d3a5aacac81f2c3a2bb,416573591,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,4e-05
