source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
base,avalanche_c,11721.437431,11718.167149956751,0xae586d52c7e5f303d0bc49360ca97754e72a6d9f6368f6b3b6e8fc915d58a86d,80297588,0x9ce5becd5c049a236378f0bf6bc8dc9edd516bd1,,,,,,,,,,,,
base,avalanche_c,24.25,24.26787225,0xce138a49bf0b6f8b5634bb97d444b5121fb2f17ad5c9cdbfaa90c8e6a50b28e0,49409022,0x164c20a4e11cbe0d8b5e23f5ee35675890be280d,,,,,,,,,,,,
base,avalanche_c,141.409206,141.409488818412,0x1fb49bbce53111ad41fe93fc058e1d6c9e33f27004acde1869dd390e74d0c2c2,80150815,0xc30673f758e02069e28181edfd9d424c57f562af,0xef9488e79b9252becc5e8cf43a347a5af5de53d2e7e0d2b930fb3066bf6306ae,80150822,0x1f0570a081fee0e4df6eac470f9d2d53cdeda1c5,0.0,0x10c94f819547e4a6d2a7314175d1b1214987cb843f5225b180951320462cb192,80157780,0x8186359af5f57fbb40c6b14a588d2a59c0c29880,0.0,0xa91dcd2401473a41bc066f6d4821e86cb6c50bceb1fca54afafbaed98cf46648,80157781,0x8186359af5f57fbb40c6b14a588d2a59c0c29880,0.0
base,avalanche_c,25.876795,25.870506938815,0x24bc205036f6eb7662f51d0160ea303787394b388acd7a503c670de7edd1c48c,80175221,0x211bc3a35a5aba59531e00703a2768e966154d18,0x0e360586d10afda3b14b5c3b0ad197adb8584d531c29ce1dce9762e2b260cb5e,80175228,0xf8c100ab4b2d416609b0ef18105ebf601b2ec84a,0.0,0xafd0bfee9df48cec7a824aabe8edc1cbc053102ec15f1b9855172935fa5cc3c6,80184556,0x8186359af5f57fbb40c6b14a588d2a59c0c29880,0.0,0x6a82c5ab2dce279d1bf877c5b1fbf5d3c7226073cefd6fa5db7a06ceb9737dc7,80184562,0xf8c100ab4b2d416609b0ef18105ebf601b2ec84a,0.0
base,avalanche_c,922.202585,922.734695891545,0x44eadde665cbabc346feefc65d6a59bcfc6f06a9bfa0eb41731085ff921750d3,57902376,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,,,,,,,,,,,,
base,avalanche_c,879.381418,879.6557850024161,0x38d7d369209a93db5b74af877c3606102e2bd1e1485e671c3c91dac65084cc46,51008416,0xf956d9fa19656d8e5219fd6fa8ba6cb198094138,,,,,,,,,,,,
base,avalanche_c,10,10.00809,0x28d499dd8b2072a6e3a06892c60951eb1ebf97a150d815950212fa2a611707f8,57047233,0x88f15e36308ed060d8543da8e2a5da0810efded2,,,,,,,,,,,,
base,avalanche_c,1.425356,1.425444372072,0x24d0f25e0887860a13004efce7e40964839bb4022813dd94b17896d1a93a5196,70376032,0x57b097cecd34ea0f34647fd3939b39fcc35195a3,0x7a6049281b046dfeaa207d298b762a0b83a7511f1a07ad1737d2de1e9a5586a9,70376629,0x79f7c6c6dc16ed3154e85a8ef9c1ef31cefaeb19,0.0,0xd8c47e544037dee00b988bd8f3e71f6ed3e65d8fd234f0433d6194b6bb48f92f,70376643,0x79f7c6c6dc16ed3154e85a8ef9c1ef31cefaeb19,0.0,0x4817d345b0f0353526097392de1ae771036a9e45b025d1ca32042ce4e669273a,70376654,0x79f7c6c6dc16ed3154e85a8ef9c1ef31cefaeb19,0.052840875888
base,avalanche_c,45303.079842,45340.772004428545,0x59fae3cc1fbf7dda9366876fb59a4ec9fda3b31c3abd5cf094f5ba76d02358ee,44915985,0xda88243e7691ad6091e511def01d7712c7c90473,0xeb0a99c923b12d8f42d772a8b88c770d77ad2c7228d0019719e34416d76de2e4,44933064,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0.0,0x9951c2928903e62996386cac1f05e6480b98e994a9a963a017f87535a549d9af,44933074,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0.0,0x25c205e92aa3078cca9cb6186fcd2bb55a5c83319319088aa8d5cccf035304e7,44933100,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0.0
base,avalanche_c,500,500.97,0xdf0913fa12276a9ef196f1aa3c475e44f1fdd1ddf06432dbaa62a20a99971d20,42563560,0x12715a66773bd9c54534a01abf01d05f6b4bd35e,,,,,,,,,,,,
