source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
base,optimism,0.285727764786829,723.4141267202372,not_found,,0x4811d66bf940705ae24aa19112654769d7de153e,,,,,,,,,,,,
base,optimism,0.325310702848819,956.4590098739267,not_found,,0x1058671450018d9053aceffb0d572b4770030cb2,,,,,,,,,,,,
base,optimism,0.03024000000000901,74.92111200002233,not_found,,0x43a996fa50d2f378d707aca9ddcde1c30cb68f63,,,,,,,,,,,,
base,optimism,0.000463627224929058,1.9888402518671773,0x87b038114ff42c238634317225ab15c8af0e7e8e53500ac4975cf7eb35ab08f5,142215261,0x08b2fde4938284e542b6b31563957ae97d350078,0x86e328595d6369c404844c1c0ceadd58872368248f6fdd6040d32a51474774bd,142215609,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,7622.11447847,,,,,,,,
base,optimism,0.05,149.9755,0xc8054589e435b393d160da3151260aaac4f9a950fe91f115f0635902c5f3becc,144325155,0x9ec02eacbcd641738ab137b370b8d4adddbe93f2,0x75ef8e8faa2b3d56214ab13940329c20feecaa81dccfde617a99b25f43ddcc5c,144325191,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.05,0xfebb5afcfbb4493d263d276f767567e86bfa7dc77115d230cd5b1d4ddc02d008,144325246,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.05,0x3e3858c16d90ed70573ef036dde6960adc317d8feccbe18c7068c207f6149074,144325305,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.05
base,optimism,0.26,892.7203999999999,0x2141531aab50f75c1a2059f7fec15ac2c437604cb4130a2bec5ee691e6dfeccb,118578746,0x9fad333483c04feb6c602e2c1e64353154f2c510,0x957695b3d211808386b64542205506862d765e57c9b76cadfafcef6d49d1af6f,118578780,0xcd55a97c14fe3a5ca85508eb1b36120d2354bab3,0.2612293980756496,0xf793e3f461fa7ef4237932fae5eeac836bef844e7f93b2185d4441ab27dd1e71,119126026,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.015002997937312043,0x68132deccef0820972e0f4f1d02ed1cef5a2268c355b629cebb54d327b0f5206,120079089,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.011771776192311172
base,optimism,0.049463609751020765,187.69560283341843,0x9126daa769835295a0818a45c63f0a130ba78d3f160d66d9265ceda5ed157235,120966402,0x9a3e95936419d003725d9d23cd0e11712ff59745,0xe5f35d44ab2f50127583bd481125d2148566b020db579cc9f51b2518db1ae215,120966448,0xee73323912a4e3772b74ed0ca1595a152b0ef282,0.04939570602269902,0xca4baec0794c2e50272ce7eda7702c35e702b2c1a9fb68deeb0f5a1e19b0562d,120970036,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.04860979084615327,0x8f2a09be00f624ad86dd5ab4c9ce51652a58784c8e943b431ae3f5ed2c1b3a79,120972974,0xee73323912a4e3772b74ed0ca1595a152b0ef282,0.04851350961347902
base,optimism,0.0856,223.639416,0x089ac4f5e5db045ac76025f72a99188c6c230425b1b3624ae35db3ad5fd3ce9a,126693336,0x6b3029b984a4d218a5e0bd4398880c9a31f81964,0x020dab24e6101be10382cb7184878a6d23e40917fa2bb30b60f68663acfd169e,126693368,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.086,0x3d549ab8a05dc7cacfedd31129e33965502254b2c4cf522e12a30ddbfa421e54,126817006,0x33e76c5c31cb928dc6fe6487ab3b2c0769b1a1e3,24.0,0x38ba7860d505b4f073bd398e45ce1407aae05d478b5ede5ae7e17af4835e04ef,126914672,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,200.464786
base,optimism,0.0004,1.39526,0x67dac0209b7aa4273dab89e03dfcb358b246376015d518ceb87278b7373715b8,129728093,0x82501af055cd0ad4b2b2f98d190918d447c112c1,,,,,,,,,,,,
base,optimism,0.005,16.7322,0xa6a47509d56c60dd3303d1715e96e9906a68e121c3c215be3d2d6eeb43d2e8cb,130074467,0xccd95a8638306f7bf6840280fa82354278aa8b5f,0x1b9a2acf5e063839844fdcc6c8d52fa2d511b8ea436b37d9db4a63f9966f11ef,130074588,0x8611a8073ae89fd7b98abdb1046ec2d4374e5632,,0xe36f4b57e035ecda02fcb40017446ecbf91a557976c249ede85cc1c0348edcf6,130074614,0x8611a8073ae89fd7b98abdb1046ec2d4374e5632,,0xaf89eef32fbc8adb8d40be41a5f073da4cd0cc4ae1952124f47929b34d32cb96,130074725,0x4200000000000000000000000000000000000006,0.003543400904774262
