source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
base,polygon,41.895,41.88905091,0x6c434e84553b9c98e2540edd4ef111aba4f02ba6c611f980adbc0c7e17bd67f7,84123251,0x3a89f01b164f6d8d53936c2363243ba7d8c050e3,,,,,,,,,,,,
base,polygon,148.6875,148.6767945,0x2f20b4202de9e12b95f3873604d58c7f3a0a1bfd31191ef471df9f67dea52140,84094046,0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,0xb75c2b06c68967a44c0743b66e9a394fffe335dda13c382b5b14af695a943ac8,84095369,0x10f7835f827d6cf035115e10c50a853d7fb2d2ec,6.192047,0x4a5928182fd9495fd37aaf8b81814e8eea3bd1574f60062d6a6e4f567b470151,84097457,0x10f7835f827d6cf035115e10c50a853d7fb2d2ec,877.0,0x32c0cf40624f824d8dbaf2809fefef12bf976cb9debb19a34145253d7912ea7f,84097508,0x10f7835f827d6cf035115e10c50a853d7fb2d2ec,61.0
base,polygon,5.654291,5.6543701600739995,0x7d920566c986b9704eb91b6064dcb2227a84d067061b025b830658b8d3ad010e,84030043,0x3f3946ef69d7d6a86b5178c9d1e0532b73a4a7b1,0xd50be74d315fa04459119e229d1347e13a55d567e9181a4fcd6f989b57921834,84030157,0xbef67defa8bfa0e9b95bb60d0c977d1bbf0b73e2,19.367744,0xe2dcdd4e93477dd872e7bb0fc20c902e1958d4e11030ea002837eeec56a260cf,84030447,0xbef612bf5532c06cb3b8df8b3994d791d75a73e2,19.367744,,,,
base,polygon,31.270652,31.318371014951996,0xe5cb93fcb960643315a12bf825f55ff91c3910fba6f5eb88454dc78361ea0f0b,71125593,0xb7684d37f23f8c8bf62861a4b406f295c759c133,0xae6dcd3242e895200b070ed9a0097f8f5635384f195332feaf1b8d0feda1e22c,71125698,0x0000000000000000000000000000000000000000,1734.895292,0xae6dcd3242e895200b070ed9a0097f8f5635384f195332feaf1b8d0feda1e22c,71125698,0x0000000000000000000000000000000000000000,1.73841,0x7d0bfe1cb24898a4dd13c26333aa71e4bf300dd76c98ce6ea7bec0e26f078db3,71125758,0x67366782805870060151383f4bbff9dab53e5cd6,31.266714
base,polygon,99.202949,99.24342380319199,0xf63e4a9caa9358fbf01cb6a5c5fd2b77715fa306e28b4301fd772e9aa461c494,72972963,0xeeb17adefd06a3c67abd4adf7e42978b1f018c8e,0x6f257d799824cfb71c40c804eb85e80bf9f0b20a30dd48f33d46c05e00373faf,72973009,0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,142.642066,0xb21aa0ef74904aada63826965448a5601426fb70198d75805021d6ee7e33548a,72973032,0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,93.351039,0xd84cc4bd7ac51ea8e475cb1bfa5bff719e9a54249202d67487b72a2804b60bb0,72973037,0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,49.283422
base,polygon,80.514648,80.549108269344,0x04a99a76c8873cbb61d31d9c1a82dfc08bf16348e750cac4dd636a2ba71a4f77,73208520,0xeeb17adefd06a3c67abd4adf7e42978b1f018c8e,0x876898a6dcdb23e24fb66fc9f521cb66e30f460e8434617664c1fb1b7b83e7d9,73208529,0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,299.588307,0x2a9e87502783a991224c6d841d0565b2b311352e9fb19b5a9d8b52cf9df8137d,73208588,0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,299.047203,0x2d9deae0d6b5485a7428e741e5bfe09fefcf33e155f19838365d439b71c102f5,73208644,0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,188.426624
base,polygon,50.198644,50.171586930884004,0x22523ce153bee36e42eda91a526c70bce2f85856519d4ee09472ac56c6886be3,74034143,0xeeb17adefd06a3c67abd4adf7e42978b1f018c8e,0x35de9503adb265a3950ad4399728c4b28da90ec5a23f583a4fd6f9207a866673,74034170,0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,998.199939,0x851f79665fd038652451c8da1d6f61dbd081dc35895a1bfbcdfa8e7f8f3f3b94,74034172,0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,16.344104,0x95518c80ebc92b390b5860f2c9b9130a3999e28291706e38520aae64073e5a49,74034175,0xf0fc40a635a907ac93924f2d8c36b3e87afef52e,31.660415
base,polygon,99.580531,99.591584438941,0x4b5688a0ffb3b4411d32ee4a7db20a4fc90c0dd9f39d1e63bd709a7a62ecc0ac,74954288,0xb3f9b3a0b0cc670da4a38577d75a9f9e3dfb5a5a,0xa679cb293d7b72c476c96249db49a9dc8451ea88dd00ffb6b5dcf50d4050ba03,74954325,0x5e40e0d29714d643b1c8928b8678dba260bfa788,98.55,0xac7052c2bf6391f0931b529cc7b3da863247318fb626bcce5d53bea62d578878,74960048,0xa3d370e8a4180828f6756cb8dce359cf21d9d6f7,50.5,0x60d54be126a230e590367d9d4cc461540237818917004f3852fb4bc4f4b20260,74960077,0x06838f9b26f6ba0f7a1b01bef8c99c9b367c79e6,50.9
base,polygon,20.031789,20.031308237064,0x513dbcef954d210723d06c089c1b565e764ecff5d186f028e30d8706ab941b46,76203459,0x30f8365985869497ea6369deaf5a1f396637c0bc,0xf300fa841b9d00b414e520669665e4ea51f3dcb0e501ab6fc090ae7940f93a9b,76203551,0xea1e09f3be0ddc5351c620095060a1a3616f650d,20.028271,0x23ac537485d85d89e6e775bbf83b3a1702d87ccca4a4d7612267f824471048a3,76204059,0x3a23f943181408eac424116af7b7790c94cb97a5,7.486569519026448,0xa73febbc1be3c0dd0d4c526b126ee65fbf6fca9ad7e812fa42eff88614682e4c,76313026,0xea1e191b0be8da7a0c07a102f5baec140c28650d,0.00452780063722881
base,polygon,1.497,1.4989655609999997,0x37bf6ff78eb04e7774638f752d0a1140ff9d8265313dc6ab6e8e4f4e141d613e,76936205,0xd69fb307b592e3378719ee4ac748a4e532782f95,0xf1281add3f45cb53645a54d2554497ebffcd0da1268cca9de2c78e927dd6760e,76939073,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,1.5,0xcade16f0e865b63d0eaa3816bbc6f9aa01700c8351c524f28a0189bca111211f,76939093,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,1.5,0x0cdc42d688f32a5a4287e90a628c27bd5a49f7bdb984dbe9884410e0a42f706b,76939107,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,1.5
