source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
bnb,avalanche_c,153.64375,153.83657290625,0xeb6feb9ef08a427f8f5e323d129fab09c65e0f9a342813e4004bc46bac1fa310,29768038,0x8a442bccfbe99aa0d249309fa0f557077a713903,0x91602ead7d8367e1c81b43daf05bb6f7b65aa4a3c4dfce57c536430bb41c70b1,29768216,0xc7198437980c041c805a1edcba50c1ce5db95118,0.0,0xdde444bf4a49196548406973c8aa989e94b8ddcc5477226b69b8e1e33e387b59,29768225,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0.0,0x3b1cdf5b4f324a57a183e1d0752bc00622d465dc014c97838b376c208d526178,29768351,0xd3abe70432d164bfeaf91b10587eaaf6c9a3af0d,6.0
bnb,avalanche_c,5000,5006.12,0x744369bdfc04a6e7b9169184e9d3e17fd12c5517c9f4a3aa48d6af0bce064058,19633482,0x6638dab66944e297c1880815a582787680ad6f80,0x8e862d17e1d7a3f7cd7f422fc691dca2ac3f874c3ec5dbde2af71b37e51b1a9e,19633537,0x1111111254fb6c44bac0bed2854e76f90643097d,0.0,0x81d378de754d791a915f6126386557e715c64e950bc77161ee94a705e11038d8,19633572,0x50b7545627a5162f82a992c33b87adc75187b218,0.0,0xccb525690d0f0922af7567492efaedb1b7a790ae2b7e09d582ea58b749e31c26,19633588,0xe194c4c5ac32a3c9ffdb358d9bfd523a0b6d1568,0.0
bnb,avalanche_c,112.49820273534729,112.61452587697563,0xef3ef58a42f9292b9f91c883071d7e4b958e25c57a28183371713d6bc6101ad7,8584359,0x3a8ba8911da2a7c0b58c65ba8ced6bcde2ca7e8e,0x6c6635787f9efec1f7ba4302ff661d5a2be7ae5bf8cff86a8395a31219b67a59,8584363,0x60ae616a2155ee3d9a68541ba4544862310933d4,0.0,0x3e4f4c1abfe2d5e0433de55da2bc2ac7814fd07d823864fbae55f9faa3a0256a,8584377,0x8f47416cae600bccf9530e9f3aeaa06bdd1caa79,0.0,0x88ad97425ad1fbd8dbddab402a9b7b8cb464ff46d9b90bcdebd2d94eb0162cae,8584422,0x60ae616a2155ee3d9a68541ba4544862310933d4,0.0
bnb,avalanche_c,171.09400143472666,171.45962931579265,0xa90483ed094102c121fc7128c2790b76943861853a965bf1c52a40562284fd6c,7895107,0x8ba0d54ffdfae9962639b079b00e03b8c462f602,0x304159a6b69eaff645127d88c3cf91e4f3814a7830e1a37acd7de05106f113ec,7895178,0x60ae616a2155ee3d9a68541ba4544862310933d4,0.0,0x00adeed8909290c33702d4be97a57b2df546c4d89112317a9065958a306e69d6,7924657,0xd6a4f121ca35509af06a0be99093d08462f53052,0.0,0x7a7a2c2bc9714fbbc1068c76230a5b572fb2068005103cf0a64bd6597ed837cb,7924674,0x57319d41f71e81f3c65f2a47ca4e001ebafd4f33,0.0
bnb,avalanche_c,27.1607753625,27.179706422927662,0xede9da84aac56d497b77336dec2f3c4c775cdad345f55c33ea9e6ba5cb7617b9,28017148,0xa44c5a633a74a033cd203d9cad58b3a1e46ae11f,0x3e939714226f82550c02d35d9cbf4521ef6a4bac4a5c0cd1967717f001d32f7f,28017773,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0.0,0x11ee0a56f3e1af7057ee1c08b6b78ebe5e19e6cfd9eda22b6748687fb56e4d35,28017797,0x31ca79282bed49dccfcee636ea5e5c7cc70e87d1,0.251200648516267,,,,
bnb,avalanche_c,58.63746214625,58.705129777566775,0xdad92f1685e6c242b227b123c027dbaf754d46a13ef547a85a2a688014d9791d,29945442,0xca940cc3407ee86c36ad4f5f12fb13c74fafd633,0xe28db88acd6203106d53d6c72d483e5b0a96a6159f17ed710b78204c880cd917,29987192,0xc7198437980c041c805a1edcba50c1ce5db95118,0.0,0x7d4442d8df8af4cb67a0dc0ab8ad2a686048c806aacc4383947630070c299081,29987203,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31,0.0,0xec5cd65915c020038b8ca535308fbb5cb86f133d86315475ae65ac6acb89168c,29987223,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0.0
bnb,avalanche_c,244.70299963471663,244.88775039944085,0xaf22765f9dc97f2afd835218889d577c7fc118bc98838a0be4472b4d5074619e,12057860,0x1b2087ad4c8613afd3769eb2a47e338ff508c74d,0x9e8ec5a868e2013b00b2f5e81746cb950d61c46d724acd72befb04b1b574f1b1,12057939,0xc7198437980c041c805a1edcba50c1ce5db95118,0.0,0x9f712b13efc5d572b947d3e4270f936f05238e40fb3ad8be2f268638f53cf5cc,12057956,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0.0,0x08929acb048e21306c239e38ad1e6ac6b30f1f848ac2604dd3b4fc308051fad2,12058032,0xe3e99ab3a48dd54cad5cfa451aceb9ce03937df9,3.1
bnb,avalanche_c,6853.952713628818,6863.794989725589,0xa6d60f6eaf072954f7d674b0c3543a307542d4c74f80b6077da9466cdd817f76,9944680,0x4ff41725846525dd25fc2b57a39b5e887c62fc4e,0x4c62b384af3b93845c4e234cafea8301197cb29a1e74eb5721bc259068760980,9944886,0x60ae616a2155ee3d9a68541ba4544862310933d4,0.0,0x3630057688d19819e43c304e9bbaf75e38daddbaaa802d3ec24d0a0e33a0b3cf,9970879,0x60ae616a2155ee3d9a68541ba4544862310933d4,176.91407934674555,0xddc197e27f699cedfcdf14c23a88b1f7355fe39cdd64c8e7dec90e4deca24fb6,9971730,0x60ae616a2155ee3d9a68541ba4544862310933d4,0.0
bnb,avalanche_c,55,55.02629,0x299d8115ad3829d4bf0b2a365f053b842dded2cd4bda9d378c7c75d563e4b2bf,22687925,0x28f46f4b8513153c5c1188e534634dfea9e90704,0x90e34e28a040a410d36ab235105f2df6088953c836642adf34ac74e356c2318c,22688196,0xc7198437980c041c805a1edcba50c1ce5db95118,0.0,0xf1c3a31bd66704522ff8a5829557bbbe5856d7f91d02b4cef0eeb2bb4650c5d3,22688230,0x82e0b8cdd80af5930c4452c684e71c861148ec8a,0.0,,,,
bnb,avalanche_c,40.4,40.200626,0xc80fc2fc6f208605f97214e05dd0a84d8cc970c7571981a6f65c4dfd39b3f44e,8078108,0xc1d45938737d57d6a9a3845c231c22474fcc8ac2,0x37dbeaa105d87c185b09fba5546c449502fe9bdf27ab59154afe58e3ca2ed24c,8078708,0xc7198437980c041c805a1edcba50c1ce5db95118,0.0,0x0a6411a91b90cdcb9e7805f6649ddfc74072c8d115cde0a622ab1f94bae9d23f,8078717,0xc7198437980c041c805a1edcba50c1ce5db95118,0.0,0x0044f8857ff53cbfcbc8fb198e4e650665db9076e632781e2a3a0dc100749a24,8078725,0xef3c714c9425a8f3697a9c969dc1af30ba82e5d4,0.0
