source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
bnb,base,23.83839106027576,23.838128837974097,not_found,,0xb1568e04638fa74b3f812791a3ad7b6a45b79909,,,,,,,,,,,,
bnb,base,350.03653056550223,350.0578827938668,0x594a5e417e223dc1d940c85f69093db6e1c90e8c6e58345df11597f7d362297a,42137359,0x5d84f33b7c9214df23fd86a0861ac923af99954d,0x359985e3db126ca7ca2a7a4e24312c902f7c26f963caffc5b2272da6e9ca0c10,42139038,0xa03533ea9637cf23e1c71faf2d2a2ecaf51736b3,785522.8169225889,0x75ec8f22cc10fc5602382e21c32fca55277f53ca822d4cc76c84d0ee800249f1,42143235,0xae68b7117be0026cbd4366303f74eecbb19e4042,0.003109,0x75ec8f22cc10fc5602382e21c32fca55277f53ca822d4cc76c84d0ee800249f1,42143235,0x2ac0f4c23e670c149537e4c44d78868e69ac347e,56.212017
bnb,base,3.799152729542442,3.7991907210697375,not_found,,0xab47ef096164cd35430e78f22fe837f10592c214,,,,,,,,,,,,
bnb,base,99.55097488312586,99.5530654535984,0x5eecba203ee7e81b2cd21561cdd3b39b412933b97837b7c0d4cc93c2a0496a4b,42171255,0x262ada1c35d641a3725e1e3f97779a228f234121,0x02b2b133752ea603be37d1e52d9110717fa493b4e33085ba022383002dd6a6a8,42175122,0x3c891805f3bc7b4164921402c9169737bf0a8cdb,9.99,0x75845014c98215fff44d4386e0efa385f24483de4998532b68d6e8befb14872f,42176488,0x519b911005cbfba86af6d2c684937f7317ccf15a,2.0,0xedf581eb53671f6a5e9396266f4b5d355db96cb14ec043a83cf131caa970a8bb,42176707,0x469d04b5a6598ce6e2f60b8d2d19ddd8fd4fad14,6.85
bnb,base,4.550499459100297,4.549880591173859,not_found,,0xd784289b044f448ca71bbb6dabdd859601e99299,,,,,,,,,,,,
bnb,base,0.00974180126043448,35.61583057212325,not_found,,0x90df257a58ed616cf9c61a4b2a8824a6eeec9194,,,,,,,,,,,,
bnb,base,20.215622727525346,20.206485266052507,not_found,,0x9df3f8eb8b8350297047370b3abcdbba5651ef67,,,,,,,,,,,,
bnb,base,0.000708317798454857,3.0726188610953087,0x72734094edbacaf601ce1213c0515af13a6a65d5e3fc26ff508051851969fd8b,35130819,0x60ac95ec1153aa8199751917ede25d0ca49a36e2,0x132acc15ee215ea30eb704da32a50b869dd65d795421cd305e65a49643147c06,35131319,0x09aea4b2242abc8bb4bb78d537a67a245a7bec64,1.0,0xc21748ed4160f63a5cdab8a4fccf72c30b1a30fc6df45241db10f48fe9df62ec,35131630,0x09aea4b2242abc8bb4bb78d537a67a245a7bec64,10.0,0x6d7a31d86040d55dbd291c49ff3f341c9e9d83067678c3b93def67323344dbe6,35131835,0x09aea4b2242abc8bb4bb78d537a67a245a7bec64,990.0
bnb,base,0.09058223716457456,423.69569687018264,not_found,,0xfc880ce1183fe1bcf5d52672cb917027dee0683a,,,,,,,,,,,,
bnb,base,414.2578544586313,414.3655615007905,0x7c67e679882d57172e9b2c24fbad7532bb54489ec9f3e9dc71b9d002620e9020,34500951,0x61cbce9fca24ce58776d09d4716e12ddb907fb78,0x7473d63b1537a24f1486aa604399c8c2bdb511d57c2fd1249a2d6af8accbd627,34500973,0x7ee306f33c84c40ee3837ae5f97f83b1f2aa6189,0.0013818763760336,0x7473d63b1537a24f1486aa604399c8c2bdb511d57c2fd1249a2d6af8accbd627,34500973,0x7ee306f33c84c40ee3837ae5f97f83b1f2aa6189,4252602.280867562,0x8c90776a869782916a0c41298f9ee286bf06daa2748a087915affe8ae6982f80,34501107,0x16c6346916eef89fd2c2fb7da61da8825948ec93,157797305.535863
