source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
bnb,ethereum,0.395409,1802.1872320199998,not_found,,0xf666b1d060abf31c5908d9d298d978a7839b5342,,,,,,,,,,,,
bnb,ethereum,0.029228219786980116,120.93438990841106,not_found,,0xf1024bbb502adecf81adc4c1e6259ccc7c646eda,,,,,,,,,,,,
bnb,ethereum,1.6309040735918225,3777.956668393985,0x168f8d890bf1f359786f629af944750e0fa66bf7abd021314cbe2aa64dd8f1cd,20779705,0x7138b409ff794fb4d4e246e954e6ee0604fd0c65,0x953cc6211bba7ab7d9265298ff838b9a5610c05a230a630d927397a1d199aafd,20985180,0x75b8ac8ce1d730920ab5f1a32024c50f7eee7bab,2.0,0xa657d5f8f7ae9d3c18ed422a4c3988750f90349ec1cd6d6b25537f81497c5e97,21195125,0x75b8ac8ce1d730920ab5f1a32024c50f7eee7bab,1.0,0x59e6c988ee9076404e45abb51dbaaa61c1d612ed49a634c97aa8ace10465c18a,21322325,0x75b8ac8ce1d730920ab5f1a32024c50f7eee7bab,2.1
bnb,ethereum,546.5066901111728,546.5985032351114,0xd37ea420197cb56c141300fba293e980433c8433ac3e2747b5e57a5b7443503d,15547214,0xbcb3385f38ce167110219f5e10afdd2255a95322,0x768e3693d1546861a5622a70a2afd1990c6144a0541a7b1458076b996cfcce8f,15547236,0xe40567b71d84527cea4c8fcffe70073ad5d1e4d4,520.0,0x4fc86e859bca724fed43beb996f7ae9433443967213887992bcaef104a80266c,15640232,0xd22eb9785d987778c2edbb5241789f7e7a3839de,2815.0,0x0dc11fdcc7f45b89cdc8f02763bad974a648d7cf1287819bc34690c77c87360f,15676358,0x7d426b65bdbd77941c971720d93e7ae2029e7e74,1005.0
bnb,ethereum,601.6887499999999,602.326540075,0xdb1071c1519250020d7bddd8c021f1674d52f548f6ec6b5fd7b4d0f8bb1c023f,19494816,0x4302b88556dd3fec95937d4c488f556eeefd68ca,0x6a0974d211a3e15d38e83e288f85483a844a7e39db68866c111145c3b534c679,19499543,0x5caf05d477ba468660cda7fd0ffe1384657b7638,0.5901341374894513,0xdefa93f160452e2388418c9bf94dbb913dce26f1f1a6b3c6ddba62a3d563accb,19505254,0x74de5d4fcbf63e00296fd95d33236b9794016631,28.838646,0xfe1da23805c0e39f0e8bb68757db50791cf77afa183bcb836fd2c4cf259dfe09,19505267,0x74de5d4fcbf63e00296fd95d33236b9794016631,0.017505643588556125
bnb,ethereum,0.13915200000000902,264.85356768001714,not_found,,0x698d22c5b827489c0f5018f5586ab4abab9fcac1,,,,,,,,,,,,
bnb,ethereum,17907.108951000002,17939.825239053476,not_found,,0xaaf75efeee586d479a919972cadc2825a20e64c7,,,,,,,,,,,,
bnb,ethereum,1917.9026660000002,1918.15199334658,not_found,,0x08f3c4bc56825ff1c11fc71858aac1317c42eeab,,,,,,,,,,,,
bnb,ethereum,27.197468409813872,51770.10914339661,not_found,,0x0d30e65b10506511b64f9a2275948b8394ebbe09,,,,,,,,,,,,
bnb,ethereum,3556.1647799275,3553.846160490987,0x231710f67c6ebef0bda51f0d4126967673cc5ecc50e351ae999eadb23a224ab5,22918488,0x46eba4879bc1120754d7f239408ebc1f7c601454,0xed20c42fda15005be500aabe1286d7e0aeaaa5c6bf269ed5448a72e2d14eae66,22924121,0x935e7b240b1eadf1cbe8a6c2bfcd033915f49d03,771.84,0xe73aaf822c2f67bdd90ced5956608615fce130a0052bb8f2885769a5583b47e7,22924124,0x9352b93766b1c94b8e53d57b2f7cb93b0e269d03,771.84,0xa9f522277066763bec54e7aa90e3cec3fc19502d36159827d76eb23829a788cd,22924285,0x5b820851d9c8142348ae76e9e56b5717a9e4f65b,0.003374
bnb,ethereum,1.549496751612398,5184.972515147955,0x05ba5bf247c40d9dcab471a0676023212e14c37002793f5542d6a75be299dd13,14011890,0x7c8267d7018ae25fbb8e707f7b203aabfae92257,0x2400585d7475cb465627b2c93332f90720853da0ad0305c051f30025e80f1b2c,14011950,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,1.48,0xc5115ceb37fa32f819f55621ca3439a28e9241c02f84ef1b80c0721efaddbc37,14011972,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,17.02103198,0xc5115ceb37fa32f819f55621ca3439a28e9241c02f84ef1b80c0721efaddbc37,14011972,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,0.0002964
