source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
bnb,optimism,258.29541440575997,258.47647949125843,not_found,,0x77f3c7e30c863272b3793834683f45dda07f6aad,,,,,,,,,,,,
bnb,optimism,0.027215511812202657,100.22819828150746,0x4b98808ecb2dff494c70e1db9e1ace367d9b1d8ed0132501fde2450d8e71562a,118523033,0x47727509e01bf6d65edc7715a8df0193c73b231a,0xa9ff076e3ccc32a08ce37925b0a3e6f6898af7506cf843770c1a8e814e9c0690,118523044,0xb6fcd0c479b7912c8e89ec04d1e4ef96846b0562,0.001,0xb1cc180de5d1bbf56e099b86f453594b4b65427cef5906acacbee3813b6e9c35,118523045,0xc9ecae60936d2ef5cee28b3e8feed60dd4e76533,0.001,0x604f038ec451acfa03376802a20e4c1c025000584cd54d8d95d27795aba18461,118523046,0x9b7578844e9fbb07bb72c347c7ba9d3e1d57d032,0.001
bnb,optimism,0.02832496875,99.87242356406249,0x12d6eca573bfdb1ae847e1fc955d92902afdfc7173ad25615197464e6da4656b,121291466,0x750715a055a38c6744ef5d174f480b27304cd21d,0x4b192e039e2c5397fd7ee099f24db5eebea9e6e06bba116d0b7757557d40bf0d,121292204,0x9dda6ef3d919c9bc8885d5560999a3640431e8e6,0.02631345,0xfd1ce5646158d3183c3d3c47c693cbef553014e2c6d82403c9ec7afaca1bda53,121292227,0x0a2854fbbd9b3ef66f17d47284e7f899b9509330,91.734761,0x426734c0aa29dede2a0c7c412065029f412cea67f96a46fb8ee7d5787464856e,121292434,0x1d3960155fc7aeec56fed24b109a21fcdf78a21e,90.950145
bnb,optimism,0.33296927062551196,902.1003261348745,0x80063467390fa5cb4ae9337d075fe91618eb62bff1e2c9bfb5b1b9d0da2379e3,131672950,0xf020ad03fc0d227aa20e9e06e2365a3b16b22ea7,0x567e53cbd47aa1a70e672861234759560676c20ebfa7173af17352a0007f6f2d,131689018,0xc110e7faa95680c79937ccaca3d1cab7902be25e,0.32301382,0x2340898f167e0951b2ff3674adae8647c007205d0e8c52b14008df93fc540d3a,131714887,0x0b4ed4bdcdd7f39ad33ddbadc5a68e73d1eaa9d9,0.008,0x22828d8599ec65c8b13dff5e4e8e3af96abe074a330141730e849d79c2e30931,131761258,0xc110e7faa95680c79937ccaca3d1cab7902be25e,0.010216558238877153
bnb,optimism,5285.149964889533,5035.236363649767,0x623d4aecaad856b61827435dcb79982656395e920b047cf55bb93935f86e25e8,79997580,0x41874337da92bf479380cea4ec9d6a8939391d11,0x77505931c1b2f9cf1072c34a532f7869fcf426cb6ceb4e729174b64842b32f9d,79997691,0xd073453a64c8697f54c028f0d20b449b2f796cbc,5278.32,0xe6353587e21a4971d65ffe37860c0a932a36b0cbb9e10b303237cf7fdb146071,79997788,0x9d39fc627a6d9d9f8c831c16995b209548cc3401,5032.499596,0x82052c4a81e5a59a187ebdacce4cc4f28d9211e9165d07909ef437eafb3755ec,79998872,0xd073453a64c8697f54c028f0d20b449b2f796cbc,5269.385711
bnb,optimism,694.777687,695.248051494099,not_found,,0x8aa4243ef5fe3d6ebe375fa6d47a710266cb0caf,,,,,,,,,,,,
bnb,optimism,0.052293000000009006,95.7903174000165,not_found,,0x3a0520b6dad201d552b890dc8faea9bd80af3f6b,,,,,,,,,,,,
bnb,optimism,0.006500000000009007,10.857535000015046,not_found,,0xc35018c28e91a5c9f24bb332e87fff6c88c87eb8,,,,,,,,,,,,
bnb,optimism,1,1.000097,not_found,,0xe90db82def7e707dd6b431b901912731986b1e95,,,,,,,,,,,,
bnb,optimism,0.1018,122.80134,0x8ff87041d06a28fd998574ca9c33272f40a5a34ce12cba1d5cece02565ec8f70,13068801,0x37445d260cff301d853ca6638b9be91ed6270600,0x05e7f5c30f9f32568a3003efa7ff3e2644389e640fd172e772aa942b9ccdc4af,13069101,0xc30141b657f4216252dc59af2e7cdb9d8792e1b0,0.1,,,,,,,,
bnb,optimism,2,5001.22,0x7891bf1cece21acb2305b0ea77f9ce439eb17d34aa2f6474f411e93a047f16d1,116005791,0x02611be1cd9b35268d116325a3012863340e921e,0xbb6cefd20b5305eeba364ff33ebea044af15d954813c61514b41e8e181f29700,116005851,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,3.65,0x984e124e0c03960d2df130e446efaf85138235b9026461031fef2d3987b58dd1,117892574,0x3a23f943181408eac424116af7b7790c94cb97a5,12003.804602,0x25b1c8f35f8446aa9d0999eb98d51123721ba27cf14c8ee4a83b0d700ad1ab33,118462994,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,1.98
