source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
ethereum,base,0.00733525,25.015476427499998,0x687fac2aac2daa4da4cc6180001414d4ae0dc9873802117fcd9614275a81bec1,22865769,0x87e28ee834e0be7894d1d3fe02db48a2260d6030,0x5780b7f858c82755d5c7cb4e61e707b3871b00f7fade718df9e204d9d77296c8,22871549,0x9dda6ef3d919c9bc8885d5560999a3640431e8e6,0.005,0x943bcf364460bfb660d5fed1b8e4446acef3640923ffddcf95050a00894c10df,22872248,0x9dda6ef3d919c9bc8885d5560999a3640431e8e6,0.0085,0xa01eb7a4848aac94745cbc690524352682e1e7dbcb7f095c8575204b7c662d29,22872267,0x9dda6ef3d919c9bc8885d5560999a3640431e8e6,0.0086
ethereum,base,100,99.953,0x3d5e918a3bf9d7785ff616d5454a89c127b5a404005c4462debdf4fc7d3270a8,23095269,0x0c7d841966696af4d1aff9a56424ab938626a443,0xe0fa2e0d205ec18c3a151fd912502d5496c943a0ee4d45591f83884d4f8d1f04,23095453,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0.000275781559824233,0x3e0de8040f3ae42fbadeee9745937169b7a98265c9aed2990650cb4fd6eb4a4a,23095485,0x74c4771c6aa9005c5566509ffe14a2be50712142,100.0,0x3477649331bfaebdda12bcf6d403709800da334838339edbc3b90ed443433891,23118594,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0.05477036736471382
ethereum,base,111.184904,111.10929826527999,0x95c369fb7a4677f2248eb5d517b9392888d378ec165fa8607b0bac8483cd0849,23241098,0xae23c54096101ea0237cf4c533ffe7cb26d6f8e9,0x79f80db49ea9eabd2f8ba0a23b8cff2390cd7c843e381188a02b2d68ff0803ee,23241126,0xd7f79f6c66701111ff9fafc4a15ef00fab01ffae,111.14899,,,,,,,,
ethereum,base,0.21551526442782756,840.9556478658931,0xfe58cf548a40db2bde5bc315aa20c1157e6768e917487645c4179f5e8934a706,23342528,0x31c91e11e31c433eca3b50cfe6b395ed31a4fe1f,0xededa90ad3ee5e4cc78217409c4a028c35a51b752aeb075e58c65362ac8ca76a,23342573,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0.1,0x924d07142167d615a087f50264e06ac84a8d67bfb3d644325a6f097c2d792462,23342616,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0.1,0x82cb723cc9c92327e1bb9f78fc93ebb89865b1138448ed3f4fbc1fd90a8f42b6,23617681,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0.05
ethereum,base,0.0297375,118.64013525,0xfd86e40343b24eb3742188c4fb25c68908654fa58c780ebf6eb03661b5db6b76,23439926,0x9f5e1adc3a5f8fd3dbb020d8e3fdb99f50fb66a2,0xd94d50d2ba07d14773f78b0e71c024b9a9254c17e519b250cbbfa07b97eac890,23440015,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2500.0,0xb9be729262546d8e94d2ec03aad0961d00135f9586cb223ab0f51ef295e44177,24433671,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,200.0,0xea72a5f4f661d52559dd375fe01e73c6eccae2efa9140587f5ed84e2ef4ef78e,24433704,0xd0b53d9277642d899df5c87a3966a349a798f224,1800.0
ethereum,base,0.11002875,378.4636908,0xbaf05aa73888a5a13dbd7e8aec50ceab942c0fa3051915f12f4ad0c1f000e853,23937921,0x877a49bea75c77a0f9b67b21032b9d79849ca4bd,0x6aedbea47da984fe263d518a52c42f9b452fac0b69c0168fd9e9602fabb6ac54,24039498,0xa20ecbc821fb54064aa7b5c6ac81173b8b34df71,0.117,,,,,,,,
ethereum,base,0.028,92.28744,0xab549dbc5e7a6d9f9109033386bd2edc2062dd81e3bb4d006e0dbc2a1d493946,25342100,0x0c3f19211132f629624173ff17423e21d648da39,0x50977125fd3a542e66ab79172fb9bfa45fdbfc87134b2f42ad4bc9c92c3cc63f,25342136,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0.0287,0xa22e2a7447ac9e340fab02265fdf3b27bc1b730a870be281e10c64cf729830af,25487454,0x63e58d1b6ac9471d589c00c4102116938ef7a0cf,1814690.6623333266,0x915ad5bf21ecb896374cadd424581d58c487eeef8af3604acdd18b36ba2cba37,25488607,0x09aea4b2242abc8bb4bb78d537a67a245a7bec64,0.04
ethereum,base,0.08975653539773365,299.71143273869626,0x989ea07e0680084ac446e8d43fc4f21105e5ce6e2cfac27042bdbf0693b403df,25363519,0xf9bfbbb46bf68574838d45fd8cf650c8d57429d4,0x2fdb81a26524f451b36a8d1551a07fd9e38660788497eaa1edcaf53031cf4fd1,25363612,0x93677becda65d9ee1261717c4dc71d8b0c0e464f,0.09138543984689898,0x88aa6ab709d255e74ef54bd5510798c86d4c221cb65b21bf6c450c9def873371,25364328,0x93677becda65d9ee1261717c4dc71d8b0c0e464f,97.718354,,,,
ethereum,base,0.00081683521315,2.5883139082605364,0xbdb13cd879607b3c0967ee1fb23e8e7d575af29489747e393e5fbe1284179c2f,25649126,0x62cc35aa3578da3614f37421f18bc7e6586080ce,0x6da78d33be3f463b326d44ecbca73b51eb9509c8bd576de87e97414a70080211,25649213,0x1111111254eeb25477b68fb85ed929f73a960582,0.002294735364489932,0x44b469f8271432248fc3f4743cf98ea529a97c48ca567cc404f8cc71c4ac1edb,25964174,0x1111111254eeb25477b68fb85ed929f73a960582,8.3190005816302e-05,,,,
ethereum,base,0.0693875,192.99300474999998,0xa7a26c0fffb123b0fadf6e6ac2651d76e6a1cca3216e174ca2dd4059d214bd78,26001086,0xa02c1a06020af02a151425133ef9ea3bb6c0a20e,0xcc91f55c53928591a3381993106170c65f5cffebf9e2250d72ba746f1f4c8464,26001108,0x0000000000000068f116a894984e2db1123eb395,0.0899500001,0x4b039cb16a7ddf6659747f8f4aa42fb3b92e596687f4adb1c384e76707247a8e,26002858,0x0000000000000068f116a894984e2db1123eb395,0.0003799999999,0xc3dd38a8f074f3d8095d12099c226edd665a546a9c779d0803eca9b4013f32d5,26003733,0xa5f565650890fba1824ee0f21ebbbf660a179934,0.04
