source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
ethereum,bnb,15.896189,15.899272860666,not_found,,0x60ac95ec1153aa8199751917ede25d0ca49a36e2,,,,,,,,,,,,
ethereum,bnb,500,500.0165,not_found,,0x5ca5b7f2dffcdc8baf7717a67474d78f38d59c82,,,,,,,,,,,,
ethereum,bnb,0.0968954587383,205.24396069946704,not_found,,0x60ac95ec1153aa8199751917ede25d0ca49a36e2,,,,,,,,,,,,
ethereum,bnb,1000,999.139,0x078663864d4524f4b34d3ac3370f33a2c9640a200e01adedaa7df537e69287e2,44725805,0xcae9d5b4fd273d6929da7b3c1641dce60efcb4b5,,,,,,,,,,,,
ethereum,bnb,2.5,3281.2999999999997,0x54e4ba077bbe4b410a10efef58940330ac854de291bbba9015a8d266d2c4e6fb,22413400,0x089d7e5e34e9cf3b368355f3ba6ae184cd085a87,,,,,,,,,,,,
ethereum,bnb,0.026,47.25916,0x64e1932936a84d53726273d0293e2b08e71a64f46bbf3b70e24daedc633c7cb9,27839955,0xb3a512de0d2d79577b68a870fd349f20b4d37e52,,,,,,,,,,,,
ethereum,bnb,287.813839,287.944794296745,0xf4935a5c80fa9c4e5f0989d5795804b1ea419e166fa227c7625a8e39ebab23f5,82185371,0x4ea6f442322254178e81dd4695ec1b9362b55797,,,,,,,,,,,,
ethereum,bnb,53,53.014893,0x65e87383d13ffe72317065753bf6d48bb03eb6c5b10cfc237d65b2b5dab24ab8,31075356,0xac5996ad5a877cd7bde6110f0f25936571862bd2,,,,,,,,,,,,
ethereum,bnb,5000,5001.035,0xc19fb5bdb330955054d44674978a201cd5451549526a0a7305933c9bd44077ed,22136734,0xaccae86041e3bd1ae3d1e50f82e7612dd42a0a96,,,,,,,,,,,,
ethereum,bnb,0.693875,1248.70438875,0xc2d968504f107fa0fed9046fd1a67a6fb37d248c1c8f26d6d58034f3f498cb90,33037167,0xcf2bd1a67c9ddbd632093ccb5bad6cccc1f05510,,,,,,,,,,,,
ethereum,bnb,0.074,128.65344,0x1f90a2243279f9f647c00678c62c534e3a05c8986c7dd0c144627988973c1bf2,29100002,0x9220ed2285fe252fc4277cf951fa5be609eff1cc,,,,,,,,,,,,
ethereum,bnb,0.2,377.868,0xe0b9b4ff8f5c3c1c628c568635955f9f1c7732088347b5b2ab775521e9679c51,47518187,0xfc99f58a8974a4bc36e60e2d490bb8d72899ee9f,,,,,,,,,,,,
ethereum,bnb,706.208828,706.1205518965,0xabfa0bf09ada1bca5a5ce4cecf317205883f9086507694dbfaf7963f685b168a,62185918,0x71b262311d38a0beb4204d981787d098fbcfeac0,,,,,,,,,,,,
ethereum,bnb,2.38861837864746e-22,9.888067957351744e-19,not_found,,0x5a56367c167007de9617882693c5a2659a4a2b88,,,,,,,,,,,,
ethereum,bnb,6.07573737119015e-22,9.90557842311986e-19,not_found,,0x2ed6a0eafb1d7e4d894aee6c5fbea8ba50366429,,,,,,,,,,,,
ethereum,bnb,2.4114044909296503e-22,9.52671160827086e-19,not_found,,0xb9b6c90772651c57862cda9d275a6a6c8d5df7ef,,,,,,,,,,,,
ethereum,bnb,5.03210344916792e-22,1.6818346468843514e-18,not_found,,0x8119ec16f0573b7dac7c0cb94eb504fb32456ee1,,,,,,,,,,,,
ethereum,bnb,1000,999.714,not_found,,0x60ac95ec1153aa8199751917ede25d0ca49a36e2,,,,,,,,,,,,
ethereum,bnb,619.774503,621.340673169081,0x65135fc145cb8a9f94b6e02b5bf3404358bc07a2c023aa2c663d6e672d1f54c0,37114462,0xc808b8a9175669ecbc13ad19ebcd1b2a56c82036,,,,,,,,,,,,
ethereum,bnb,159.04554,159.1258579977,0x7c032ca984fdae772245c5d7a877861c881a2610c956b0532b02565c8f58711c,61711854,0x6645842799bc71c2c1571da1abfbf2432cd630a1,,,,,,,,,,,,
ethereum,bnb,0.23845521236382772,482.56181326067815,not_found,,0x9b95dc17acfd8e028f192971165ae7be76e6a954,,,,,,,,,,,,
ethereum,bnb,15807,15804.881862,0x73536a953b0783a04a0167903c972f682fd706b2baadaad15641cb069a7cc7ba,86122589,0x6992bd823bb63e189a827566c648ece23adc6de9,,,,,,,,,,,,
