source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
ethereum,optimism,0.05,56.962,not_found,,0x49fea5e1cd10750e1500eebd52ebe9d21b7f0e04,,,,,,,,,,,,
ethereum,optimism,0.14,230.2524,not_found,,0xb637026bd55f27aa0f1308a86f60524a0626fa75,,,,,,,,,,,,
ethereum,optimism,1,1.000346,0x35d37957c8c7e235379e7c506675382fbb95dc7ec6b6e27d44d075f91394fecf,147525396,0xfd62020cee216dc543e29752058ee9f60f7d9ff9,0xbb3c2f4d4be3edf481bca830b651a3fff95cc7fd1ec8c662dce7b83d74d53cb9,147525781,0x33e76c5c31cb928dc6fe6487ab3b2c0769b1a1e3,1.0,0x1e71136b1c346162ef9ab477a73f8f514d2803cae7fd6f232f48abd5bfcfc6d9,147526681,0x33e76c5c31cb928dc6fe6487ab3b2c0769b1a1e3,1.0,0xef8fe35507fb29b3b8e9905d4f3078d709e331e68a4750139af7d8bc6a61803b,147527581,0x33e76c5c31cb928dc6fe6487ab3b2c0769b1a1e3,1.0
ethereum,optimism,1,1.000372,0x655860d9a3e2a26b09aee401593b0d5b5638fe94e24d8a516d2465ab9c13db0b,147841317,0xfd62020cee216dc543e29752058ee9f60f7d9ff9,0x36948ed2eb121a08b2db90a6c80128413cf085450ef40c9d5c5c48bb53ac86f7,147841608,0x33e76c5c31cb928dc6fe6487ab3b2c0769b1a1e3,1.0,0xf7494cdd1d3cdda973c17db402cde6d810ae44be2f171755bceeda6a8ab22741,147842581,0x33e76c5c31cb928dc6fe6487ab3b2c0769b1a1e3,1.0,0xcc865a060bf2dc4958c9d88ec0337614d9600a1fdec8ce15aae38de447517fa1,147843408,0x33e76c5c31cb928dc6fe6487ab3b2c0769b1a1e3,1.0
ethereum,optimism,0.2452,634.9184280000001,0xe8bc812ec3caa277c32a108ee0c8295bcf04ffc90ae607381983892efb95e232,135807532,0x049f470241c8b28d921c941e8f75876ad0b1a9b7,0x274810341cd46db478f8c3fcc5ac3a4d92f3966fe53ba6ed28f39766240dcca2,135807573,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.12,0x14ef1d58441362d0722250501df61c957b22d282fae33cdf82028c9d0f5d5243,135807708,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.12,0x1f26dab69a00877e365ce7d8a7a8d4d08b07ebf6234dfcd710f1e919d93a965a,135807835,0xd0f92f5d756bf223574dfa3ef284a35c3c046289,0.12
ethereum,optimism,0.2,594.792,0x7c25b101d3f7ce78f06c1ef22292b5664350001c15f22ba9dc53750b4f725fc7,119826497,0x6d4f97bc946e75b3e7ecdd88dedacbe46cd41870,0xcbae74a566ff3757defc89e1477f8ec4dd66722af646efdf11ca4c9d10d4bb6d,119827320,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,1.7800030672250817,0xd71c20973af77bd5aa769b7736445c3fe6bd9ba58896b659f2f31dd20f7061f3,121642255,0x3a23f943181408eac424116af7b7790c94cb97a5,0.05,0x83d0de54f085262e6220ec65f3eaba81a4073eed6a4f91d95447763117c5bad2,121894417,0x00000029e6005863bb2e1686a17c4ae0d1723669,1.08359
ethereum,optimism,0.05,155.011,0xdc8eb276bc2f866c7a0bfa00b58e7b5bb02e8776e9449c0d4cb873ae4de6fbd8,122525824,0x335a67bf51e2596abde47e872af885db46f7b628,0xc4de7d97b8d84f83d722fb003db3dccf075829586d5e2d4667d692bd5d503ed0,122525937,0xcb1355ff08ab38bbce60111f1bb2b784be25d7e8,0.066,0x78a9370faef72085377a65d8ef339ab6b1c308cbd6bf39102638e32ce2860c51,122526017,0x4cb69fae7e7af841e44e1a1c30af640739378bb2,203.0,0xbc1216ae01ed01316838d960b3e838884c4707300891339d2da0ef2a7c17277d,122527754,0x5f0000d4780a00d2dce0a00004000800cb0e5041,47.2
ethereum,optimism,0.2379,408.357729,0x880b7fbc7af61f46e2c2413b8dd698f34b67933e4eef28283c794ff5bced7f63,84162826,0x4e6ca036c252f4ac903fa4ed53e4169b20244c64,0x321e073c4da62b63aefe57fb8be03963fc0ec49acde3b332c849fea0d5477cc2,84163867,0x9dda6ef3d919c9bc8885d5560999a3640431e8e6,0.27,0x1a97b1597b8dad42da7bc3802347f10bf97035303def2cb70e0bf3f496d13b74,84163992,0x0a2854fbbd9b3ef66f17d47284e7f899b9509330,10.0,0x3b1fabfe6f687e05878db56172d698d953e293adfc243d02ef3972bf835ffd2d,84164075,0x0a2854fbbd9b3ef66f17d47284e7f899b9509330,448.866505
ethereum,optimism,0.002979,4.75689699,0x6621791f66b3eefabdf7f25f0770b0b8d587de8bddfbe3a4aa9d61d05195e494,134430874,0xaf9a4f1d829f74b6e0863c292ef02959e7653c46,0xc4a9e66bd618b04c173f2e81e68181df90d149bca71958b754b3c5b5097e4fde,134431640,0x69460570c93f9de5e2edbc3052bf10125f0ca22d,0.002974,0xe28fad062a51245fadb5b7eeddaddc4e762e7da593d63c885dc6033f475d77c1,134556459,0x851116d9223fabed8e56c0e6b8ad0c31d98b3507,0.00316876980727104,0x3f14a1464a2c8abb723f533a39dd68872d027274db16ef81b77f938841ec631f,134557682,0x3c11f6265ddec22f4d049dde480615735f451646,0.0014
ethereum,optimism,0.0015,4.66296,0x85b5895ca81daebbd8f3be8304b7cd1dac0fb79ed0380a61dd01e1e7244baa36,138519047,0xf8fdb3377fabc6a32f6cf853deb201c4e90a8ff3,0x04e39b359453c1693ec5b90c176fff1ef91bb8213ec2928220b726d1311b95bd,138519108,0xf8ab2dbe6c43bf1a856471182290f91d621ba76d,0.001021618268519072,,,,,,,,
ethereum,optimism,0.021700000000009007,76.3521010000317,not_found,,0x04210dd548f9939bfb7f0ccc9234d5ce5de1a784,,,,,,,,,,,,
ethereum,optimism,0.006700000000009007,12.56451000001689,not_found,,0xdbb30c3a4d91e4e1cf0459d727ed12624218ab0f,,,,,,,,,,,,
ethereum,optimism,0.03420000000000901,62.57266200001647,not_found,,0xb52617fb499a380569bbc171a116a1e38c407a17,,,,,,,,,,,,
ethereum,optimism,0.151200000000009,259.67239200001546,not_found,,0x3ce10abd77ab586cb75a5e6562c9adaaf2d5fa09,,,,,,,,,,,,
ethereum,optimism,1,1.00066,0x7662fda9d0a235c19dc6e4c49610e51baa52df0acd2592d7dd4a5eb75371e3c7,139275042,0xfd62020cee216dc543e29752058ee9f60f7d9ff9,0xccfd4b949ab868a57aa1e876a972e850b1cd0e5b82ec3f6b99412dcd33a389c0,139275406,0x33e76c5c31cb928dc6fe6487ab3b2c0769b1a1e3,1.0,0x10da55ad48741dd7ac5e3237449a82c75e26a8abfcf4f1d17f084b3324c106aa,139276378,0x33e76c5c31cb928dc6fe6487ab3b2c0769b1a1e3,1.0,0x8b8df758b42b3c1c9d80d82e737b87e3763ed601642586f69180c908b44be8f8,139278179,0x33e76c5c31cb928dc6fe6487ab3b2c0769b1a1e3,1.0
ethereum,optimism,0.11188376365999024,435.63845404999415,0x64d7eaf720a6f689bd5d1bf8b9620042b6496a9d1632f387314520423b0c0c81,142610013,0xb3313b023e68cda95d7b625200e1b0fe6335a0c2,0xc299038da076f891a9fe6df3fb454dd31c129d4690182ba5b58464a28021acff,143003583,0x0000000000000000000000000000000000000000,10273.530168,0xc299038da076f891a9fe6df3fb454dd31c129d4690182ba5b58464a28021acff,143003583,0xf03b4d9ac1d5d1e7c4cef54c2a313b9fe051a0ad,0.000113966514862054,0x4b63aeda91b57834264ee98849790ea3cc7c5622b3e4315eea341097ac22afb8,144234803,0x0000000000000000000000000000000000000000,0.004487
