source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
ethereum,polygon,0.14877051251611428,474.22534881174136,not_found,,0xb75859a436945de55fd920218ea8aecfc8acda41,,,,,,,,,,,,
ethereum,polygon,0.009,31.60449,not_found,,0x7a009bada2564cdeeb61d82de97659bb0ae99124,,,,,,,,,,,,
ethereum,polygon,996.0110524798772,997.4373403070284,not_found,,0x2b9e1951ceaf3560a728926bc326769912e69b25,,,,,,,,,,,,
ethereum,polygon,816,42921.600000000006,not_found,,0x00b1d9712085ef5c7e7c1666c78a989421d67369,,,,,,,,,,,,
ethereum,polygon,14449,228438.69,not_found,,0x9ec1f2b052b4534b387c73c69b3e87324c1c7b21,,,,,,,,,,,,
ethereum,polygon,217342,1321.2220180000002,0x2bd23f3f7d4f200ae51c1a55d44025b69d4cf9b06df5c217d7425067b19af1ea,52242869,0xb33bd56d4192e8e4e6a02e93eabc732165199346,0x89cae8d56b8ffdb606ac62d37d5cc2a05924694f73200e1b33bedcb673d33ee5,52242871,0x9ceff2f5138fc59eb925d270b8a7a9c02a1810f2,356.985465,0xe7552a545e60dfefaa616e9565488392e4f3e5d441c350cb04368c6c8b6ce9bb,52242871,0xa4d8c89f0c20efbe54cba9e7e7a7e509056228d9,556.376989,0x7bcbdf3235612db5c30a30878c78a3018c8faff456eb614c90753af40665cc45,52242873,0x79e4240e33c121402dfc9009de266356c91f241d,90.3841608637269
ethereum,polygon,0.28,521.4944,not_found,,0xac8f92622149d8efb2eb04f14b0710e0ef448164,,,,,,,,,,,,
ethereum,polygon,0.02,33.411,not_found,,0x2eae8dfbd7e2a7aa05c5eec3944e59998c4ce2b1,,,,,,,,,,,,
ethereum,polygon,10,28.5,not_found,,0xa2f451eb56414f200df506f46814248057b79ccc,,,,,,,,,,,,
ethereum,polygon,0.1,307.607,not_found,,0xb371f490432fded04bc0707dd30a3a8d38026e59,,,,,,,,,,,,
ethereum,polygon,0.008,16.432560000000002,not_found,,0x68652a335b86cb6599ca65aa7e8236a6e1cfd976,,,,,,,,,,,,
ethereum,polygon,14.5,14.510860500000001,not_found,,0x1881ad6e231a14a8be0f9ae6f9efd8f3cfb09919,,,,,,,,,,,,
ethereum,polygon,0.000748,2.01089328,not_found,,0x1cb7793d772d9b37ca9a8aa9de054ff402cfd242,,,,,,,,,,,,
ethereum,polygon,0.042525,54.685449000000006,not_found,,0x1e53c9f721507fa837690c65ddff4ddbde2b1a99,,,,,,,,,,,,
ethereum,polygon,998740.40346844,1005360.054862629,not_found,,0xb7cfb4dd07a7b183bac63170118c2361dcf3e742,,,,,,,,,,,,
ethereum,polygon,0.020500000000009008,32.69176000001436,not_found,,0x76e4f864bbeb60bee66ff5bbcd32decaf7fbde71,,,,,,,,,,,,
ethereum,polygon,3379.819006,3381.708324824354,not_found,,0x05eb7f0ebcfc8bee7d5283521a08ebef149569ed,,,,,,,,,,,,
