source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
optimism,arbitrum,0.03520081360925458,113.16322358289553,0xa432f4d420a434ebb40a9f432b7706fc63b8d49e715fa980f46e5d3310a678f3,274053784,0x6844f68bac083ec5cbb54971365a765bb9b79ea8,0x9076f20de0d518352917f8db38877dc3f709791db4c1ea8d1343b9c87e370c24,274054156,0x3a23f943181408eac424116af7b7790c94cb97a5,0.03310626081357745,0x8360be701b61b391301b3281498469f1b674edb0a557317f02c3d0f6db2646f6,274065550,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.035,0xf3537eac0e6bf715cfacafe46d31aedaca4a61771e4ebbfd98496d40538b5b22,276150540,0x3a23f943181408eac424116af7b7790c94cb97a5,0.03302096838888626
optimism,arbitrum,0.24336608277845098,809.9344917908238,0x92603746b8564061e1ee2ec7a9abf1bf383861a8875b9929e2f3c3dded6d0f20,197660563,0xef40bffa105985b4b222596b816684921cffd923,0x890835e79c6f352e29a4d373c081cba95d0345ad6beda82d360e1c4db96f3b58,197662104,0x7ac6b7869be51990cd6cf726ef44e821dede7b12,0.24430329498959769,0x1bffd06d65cbfcfdef6ad6b6bff0a03fb21a9070d19312fa0c851b44c962c784,224838334,0xc6af8e73e2261264ef95466b97b13e03bd88165e,0.29414859992201975,0x9341d93d28625f00a6594c9761067b32f75484f0bf6419440d35115a39e1b8a0,224838575,0xb09f16f625b363875e39ada56c03682088471523,1.013569
optimism,arbitrum,20050.834794,20060.860211397,0x21b06f84e63b57295543d8f0ce4701ce163cb9e7af3f415f11662b4dc52d962a,60477910,0x95e5816f061d643fc48b8f89c12d0e34949fea77,0x5b61b92e033e40c204a0f9522dd8239ceb3c1932d03321c7152c3bb5a7ab3d6b,60478417,0xe20f93279ff3538b1ad70d11ba160755625e3400,20000.0,0x5b61b92e033e40c204a0f9522dd8239ceb3c1932d03321c7152c3bb5a7ab3d6b,60478417,0xf26515d5482e2c2fd237149bf6a653da4794b3d0,13.199765,0x2b0ed2a19fe05b4dddd88f245387ad6a0f96dd5cab93a1057402826fa0177f24,60479025,0x0322cebacf1f235913be3fce407f9f81632ede8b,0.000493497862132121
optimism,arbitrum,123.100489,123.202539305381,0x3c45e24e3971d646b9105983dbbd5a52fca7b46ca93bac0fc49ba3b1b31eb95e,81610593,0x2967e7bb9daa5711ac332caf874bd47ef99b3820,0x7c8f51bea148544d85e9e8dc6d438f9972964aada9d4b61338ef355e7b236ec0,81610600,0x892785f33cdee22a30aef750f285e18c18040c3e,123.397277,0x24532f218ddb215e2c1e30fd38bdf8ef6921745a2adef4e427a3cdd0dda2841a,81610608,0x2da7e3a7f21cce79efeb66f3b082196ea0a8b9af,0.020658,0x24532f218ddb215e2c1e30fd38bdf8ef6921745a2adef4e427a3cdd0dda2841a,81610608,0x04e3468b2b780efda893e1f01d290b4060133b4d,20.637748
optimism,arbitrum,515.429701,515.400836936744,0x668a3576518ab1078d1fb0d582296261f73f3ebf382a434ad5ac3236e17a1751,156479345,0xfb2bfc368a7edfd51aa2cbec513ad50edea74e84,0xa7f7774bdfad1968fabdede14772eb05416b4e98815dcb6539a2f5c897c12a71,156480847,0x9a2dea7b81cfe3e0011d44d41c5c5142b8d9abdf,149.980615,0xa7f7774bdfad1968fabdede14772eb05416b4e98815dcb6539a2f5c897c12a71,156480847,0x83441e2a9b5b143dc0f3a0dd0d763aadb7ad6bc9,149.971772,0xf41f9fa519a4c2fcba09ce5e1ffdd39004e8819627e9d8a45d05fd3328bc5d53,156482333,0x41596efb2f6f0e8bf78d966bccfd015363664364,106.751688
optimism,arbitrum,3.31599,3.31850683641,0x07cb60d683949c8c34eb2950dc340d85b4190ae56a422fe9a3e00a998c832697,237482493,0xfc99f58a8974a4bc36e60e2d490bb8d72899ee9f,0xec655a27a13b0deba54e1a0d1a5a9658022eb3e0d7d51ee23c53ab7a566776c6,237482551,0xa28062bd708ce49e9311d6293def7df63f2b0816,0.013005,0xec655a27a13b0deba54e1a0d1a5a9658022eb3e0d7d51ee23c53ab7a566776c6,237482551,0x6f38e884725a116c9c7fbf208e79fe8828a2595f,3.302984,0x6d3d5151b4a14bc247aa81bdc807f05451b37b793660fa2d4f48c43740eb2a33,237487495,0x0da231b5c3356528fa68a5680060e2231194e556,3601.540058
optimism,arbitrum,398.996368,399.41371820092803,0xe480e228572b052aa651ecf5a3222a79dd778a2ac95bbe236c3e6d2c69e91253,290361334,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,0xe88dd547dd41037bd83124066cb1d7287e9d92c447641ac9ae08679b3b3705e3,290361644,0x5acf4e865604ab620fb84acc047b990f2d2856fd,0.055278,0xe88dd547dd41037bd83124066cb1d7287e9d92c447641ac9ae08679b3b3705e3,290361644,0x75a7f96959a206627d7980e3a8096af377bcf79d,1.495665,0x6f5f0854bc3aa4ef9097ff62d01fdd2cc44f82927275bb56b8b44cd06136d124,290361668,0x5acf4e865604ab620fb84acc047b990f2d2856fd,3.075456
optimism,arbitrum,1,1.000606,0xa2b13d2684133948c29ae05ed5826f1c5a7848efb8ee06b3c22fa47cc2cd4a2e,331602928,0xfd62020cee216dc543e29752058ee9f60f7d9ff9,0x54caa7049631a3fdc9ad93738148693e88575b636bc6655b00fd03c91b98a274,331603673,0xe7ed1fa7f45d05c508232aa32649d89b73b8ba48,1.0,0x538339d36333ac7349394d54304f06815674564094d091e3a56d995a65fe60c3,331611400,0xe7ed1fa7f45d05c508232aa32649d89b73b8ba48,1.0,0xc0fcbcf35df555292f9c9642bf0cbbbe96efadaab84cfa56d9b49ce896af688b,331625726,0xe7ed1fa7f45d05c508232aa32649d89b73b8ba48,1.0
optimism,arbitrum,1004.678,1005.308937784,0x8d150aa161dccf1b3a01f86c4c68dd0acf97147ed1e9083f36850493cfa80b32,173294867,0x4cb69fae7e7af841e44e1a1c30af640739378bb2,0x4168a932f02c1b6b2c7198532c9299b90cfd148fc5b5357e5cedaaab0ae02819,173294870,0x53207e216540125e322cda8a693b0b89576deb46,2.0,0x4168a932f02c1b6b2c7198532c9299b90cfd148fc5b5357e5cedaaab0ae02819,173294870,0x35679c0049c6443ae1ad574655938269ac0dd000,1002.293,0x0041598bbe63db8be42a09e9a1b9ec9b836e873f9d0fe78f2b8c55f41100d856,173294874,0x53207e216540125e322cda8a693b0b89576deb46,2.0
optimism,arbitrum,994.860377,995.4443600412989,0xb80c5327e86891499803547e6f799de8de11d4754ba2d2ab41e23dc1ae412c43,179787537,0x08b00ceee2fb66029b53d76110b19eeaabfd1e65,0x22325720fc79dec88c56d749fa41da580ce297a344d0548ac22a917ee0b18ba0,179787551,0xe37e799d5077682fa0a244d46e5649f71457bd09,994.860377,0x37256def57e9f6f10e6f5a0c6b1ea9ba58e77da11037a19aee3c6d238c3a2cdd,179787597,0x2fc617e933a52713247ce25730f6695920b3befe,994.788813,0xb33db80e4bb9fd01b7b9d1dfae70b833d4bf681df83ddabbeee9d41784641caf,179787616,0xe37e799d5077682fa0a244d46e5649f71457bd09,994.860377
