source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
optimism,polygon,0.005500000000009006,8.65403000001417,not_found,,0x9712ab54490ddd5491790465472327db04d0cd96,,,,,,,,,,,,
optimism,polygon,250.139,250.25006171600003,0x3ca48777a62ed68007bd2ae9e148d288d241caefcb5082aca2e69b767257b672,71728115,0x819fec2168eeed0be582621cc991aa38df6d296c,0xba8d4a2f9b9f70beaa6f3f764a26c0bc41e34b8d2a44032e9a7496900ae09206,71728118,0xa4d8c89f0c20efbe54cba9e7e7a7e509056228d9,1000.0,0xd01f98a0b2aca501df38fdfd488eb5ca2b10f7ed465ac27fcb881f01e2527487,71728122,0x9295ee1d8c5b022be115a2ad3c30c72e34e7f096,0.01184,0xf222355b36e4352127d092384806b1c94a48effbec3b30634e3989f2639a2d6d,71728145,0xa4d8c89f0c20efbe54cba9e7e7a7e509056228d9,750.0
optimism,polygon,10,9.99746,0x0aea1e7b075dc74785b74cc8b24a154e2bc7ddebbec32d96c388b28a344addf1,74628574,0x4159f5df51fab9b89335990fffaf1eb66008a4b1,0x8f3671ab5468dba96ed2658c81bb53cea30f9bca5f7d6695f0678f40e9f7b8a5,74628918,0x3a23f943181408eac424116af7b7790c94cb97a5,1.0,0xb4af11b53f9fab554734ee53579556fe333f6a1336bab7a021e9d19aaefce4f5,74628933,0x3a23f943181408eac424116af7b7790c94cb97a5,1.0,0x8085b4f7bf77ce95d6d703a3731769306b3e9bb2ee6280839cbf8af1339230d5,76125136,0x09b043840cd2f32687ec6b63fb0412585de39822,10.0
optimism,polygon,18.260084,18.280407473492,0x82100586cfc8349ee27134ca7cdcb733c29ba902744cb62f2f4438c7c4c15e92,63399361,0x3721b0e122768ceddfb3dec810e64c361177f826,0xf0167fd5d06ba75318ebad1cba848619fbfd729dafa56dcc5740fc2d2ad434db,63399462,0x887265382183849ce789f2b83e34bf72fd244cc7,18.249157,0xa5b775a1dfcd44b51c05fa378d2dce3412cc77462cb8aaeec3c717f4a1e32e68,63425056,0x71e2c1fa4bf2c4f44285b986acf18f10a6c073ba,1389.662128,0xdc279dc4b0a2e9bf8914153e61e0f9872e1f76c05773b9c07c3630500dd5434a,63439755,0x71e2c1fa4bf2c4f44285b986acf18f10a6c073ba,4.992815
optimism,polygon,104.751626,104.754454293902,0x8771152fa4257e46137cc8641d6be2ab39c7018659a6a65a9874bf9a7b7a29e3,38080236,0x1babb042ddcca9064eb01a054bcdbf5ceb102592,0xc75a31c55ef5c47c5da5ac93d6504fdff0cb1afff4a17d351f529f7f7f6df98e,38099444,0xab0a709a5b73b907a0e35f268cc9c292a94bdb82,103.1,0xc75a31c55ef5c47c5da5ac93d6504fdff0cb1afff4a17d351f529f7f7f6df98e,38099444,0xc30141b657f4216252dc59af2e7cdb9d8792e1b0,1.2040059881508924,0xa5679929762ec0522d33cdf5aa0ab3ef76f521ebb3cd3df718cb5515dfc6cea3,38156242,0x89b77c06a3087fea8e70ff08a58053087968d5af,0.05
optimism,polygon,36.496919,36.52538659682,0x4089fdb930c088b44effe9d99cd6cfdfcd4bd741b9cdd26be0c0fd61e671f669,54994447,0x7a435fd344443c43811971d94b0fd709630c5394,0x59f512a532a23bfb9d6358348d8f505dddf15ff326fbd090e60c6dbac6de7d4a,55142409,0x8ddba0b5aa0d057b379b5350914e92b3ee1ab173,0.9718172983479106,0xb4773161ae044acf7469373f6acf072659e803c6aba8647038fcb3b14acdc748,56004865,0x3a23f943181408eac424116af7b7790c94cb97a5,25.0,0x42feae63d407badfaff97afe66c4432cedf40fa107160330fffc08500ab6b8f7,56127170,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,13600.0
optimism,polygon,0.003,9.34623,0x974479525d30fe3103e6fca27b263fce24f39ac4dbb724b4ac8c75cc503caf1a,59243704,0x20693cc64751626216c4c8cfd603386c01531091,0x63261e5c3a105dbe7b67220eb248f8340c9c62020cb898ae91f08bca83f04afb,59243717,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.002997665455837529,0x65ff2c88fa437151c2f36f7d52203a4a0c80190a3cd15d734b589168fa69b4c3,59243731,0xff04820c36759c9f5203021fe051239ad2dcca8a,5.0,0x0542ecd6fc252808d257fe86a258fc668ef6ec64dbced890833cd7a2fcf91641,59280262,0xbcc23c02a3efec4a4c86c20f6b4cacd94e41b266,0.44
optimism,polygon,429.459662,429.64776533195595,0x57ae1beccd45d23347e03f3d8fffa880c3a9d36de3c3f80331ccb5cea6946c09,56336686,0xbac163a43e5745f5d9fc2008c2ee437c6ed7aa76,0x356d7380fac98ef5528816e90ca422b004bb060697928e26deb2a6652e5ed10b,56349377,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,429.709742,0x33415abad52b322f7bba82e0cc88cc20963f6a147bae424dd2066159d9aee2e1,56372107,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,429.693269,0xc002bda360919cca3e5e09abf5ff4ac781021b8281ba4e0e2e942362428f5e7b,56372529,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,428.597649
optimism,polygon,33.030401,33.065908681075,0xf40f9846949eecda1e9ee9a4c6c22976915c6943caacda584106dfc11b2d2b26,62449330,0xda2263b2393c53fd6dff3ba356be7d7127202825,0xa671354d7a2b58319595684ab5782081b3e1f432a56968f5d4abad1178888886,64401255,0xa374094527e1673a86de625aa59517c5de346d32,15.0,0x738da2198304bb0d1e1f9d554818fbb59b1c8d868b493a31a559892c5c80a4b7,64757393,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,18.514847,0xd6e61ebcbad4a0324aca5d0064282288c007cf858dc449706c6c023a22067000,66413911,0xf127c7f619efdde3736d8d755612ce831f5f5e2a,0.13
optimism,polygon,80,79.95584,0xfc7d6279cfb6cce7e1d1467d3daa2de0bd3e6ab2b13f1fbdb2482da2218bbd8b,65986828,0xe4866777d535c9f555cdfd3260d62513d8d36230,0x0b81f8f4b1823dd0c81a755301aecd6eaac05b6d18030f5eac81ee4d4aa5fc61,65986947,0x10279c9dee3e12e4ff6fb8972798634a24d8b379,70.0,0x69b8dc910540b288dfa42175fe6c75c513c559d41c09be97b6f2c6be00954ade,65986973,0x1027cb7a8fbbb21cfef9fa36c1c42c8f9687b379,1.0,0x69b8dc910540b288dfa42175fe6c75c513c559d41c09be97b6f2c6be00954ade,65986973,0x1027cb7a8fbbb21cfef9fa36c1c42c8f9687b379,70.0
