source_chain,destination_chain,original_amount,original_amount_usd,withdrawal_tx_hash,withdrawal_block_number,recipient,next_tx_hash_1,next_block_1,next_to_1,next_value_1,next_tx_hash_2,next_block_2,next_to_2,next_value_2,next_tx_hash_3,next_block_3,next_to_3,next_value_3
polygon,avalanche_c,0.0702,259.527294,0x7db2b4073123ffba772a4e9b6724113abdb49a0178cbe9d9395fc9199a032112,45696057,0x4fa1328c86a603da587ec461e517a7519370c2e1,0x27660e2e07805014783772881c5b72ebd227d6920d1814c0ccf988f7d2437cca,45696497,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,0.0,0x709f0b3af7e057cb41e5aaad399df39e8d7a6d6ad64a4cc14f06aef92703d8f9,45696512,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.0,0x2de5b08ea267da6f3e4624defedac793edb9ae58819a6af47b489d14d8c07b6e,45743429,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,0.0
polygon,avalanche_c,154.98398,155.70372560312003,0xca7854ce9e7f2f3a8da3400ec0f8f5b553060ff752724814dc54266411c31eb8,22384508,0x850c9b17b11159182dd627ada5239dfee514446e,0xd0bf6f9376a2ff917ce9ef71b3da5f58cd746e93a1af5aa019e75139cd170ed5,22384549,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0.0,0xe463153ce406660f5b3f62f86a9de34888cf8ef4318a6ed2463a41fe5f1a3292,22384583,0xe54ca86531e17ef3616d22ca28b0d458b6c89106,0.0,0xf91ddbd7347901d03939ddeb5255ddbbaa0d017a0ab541af614bd2215e33b159,22384614,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,0.0
polygon,avalanche_c,101017.290522,101078.10293089424,0x2d02a8ceba6cb3d3c2a1e3e789bf208a8384598eb4db9b0e63b6515aa567ced3,24061057,0xbae6f47ec72aa3c8b09f442b35f981e587796666,0x83e0928519c679dd395b4ae39ced86901399c0cfda583f8f3e0833b371b04834,24061101,0x1111111254eeb25477b68fb85ed929f73a960582,0.0,0xa359f97f3e47a5b420bbe6f22b3061f2833b2bac003f47a75344fa90ff34538a,24061127,0x794a61358d6845594f94dc1db02a252b5b4814ad,0.0,0xb53f96aef0dee5915429954faabe5d9a26bf00fe528c8ecbba669768fb8304db,24175483,0x794a61358d6845594f94dc1db02a252b5b4814ad,0.0
polygon,avalanche_c,327.922489,328.09956714406,0xa9e969178efed6a0d8387032f7ba9ab055e6a7de6dea266a900240f9df9f5f77,7834857,0xc0146b106a90a1215552be29baaf6f3b1701d3dd,0x37cdf80dde8f3ae9f1fc98e223196bd903ba00970a40a91520867a99d17a8bdf,7834888,0x1495b7e8d7e9700bd0726f1705e864265724f6e2,0.0,0xeb1a1c9042df15710a616493726d560c43a1199339fb982a5baebea1843c9d18,7834921,0x60ae616a2155ee3d9a68541ba4544862310933d4,0.0,0xcc059016579011f390a928b30f81b9e1973e9a1294916a8eeea30efa134afc03,7834941,0x60ae616a2155ee3d9a68541ba4544862310933d4,1.1646857702083784
polygon,avalanche_c,1902.20875,1903.8028009324998,0x0249d33a722d1eb3b62880704af6861ee8c3c00ceeb12f8301aac377514049f1,28344684,0xca95dd4f18d7eb1466739f3dcdcacbf9bc01015a,0x3749d6a7103e6842fea5750cf49972be7070668a5b37fc078d392a2b7f6df4d0,28344700,0xc7198437980c041c805a1edcba50c1ce5db95118,0.0,0xa54bc0b0a21c1c36a30f34d580af558242d8b65285f14aa9174113d210834969,28344721,0xd3e71efaf26bb32bb3ab3a17ca7b091671c941e4,0.17627218133113146,0xe5f10e44de0bae39db0321cb19ffc50e54b3872ff046f30c2e1711cf4ef4a511,29453485,0x4f92ae4960a6ac49fa88bcf9d6d4b8c53f626a55,0.0
polygon,avalanche_c,81.024514,81.07239948777399,0x74d83da69a0a9cd745339b63364fe2c1412738710d8d57c0d42bc3a44bf909ed,41137415,0xd28d04c3e718f6b7b3491b82c98aea4459bbe1fc,0x2ad3f9e5695cc8c77690fa30117a407cfe35785f815bbe9ad5a270cdbcb27290,41137428,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0.0,0x35124cb374d86283967bdfd9ddaa3626ade0f6e62b6f4a6850aaca23698af648,41137437,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0.0,0x48cf8d6ac95436fc95577031a36551df49275f4861e88eb41800540bd5b97cdf,41137451,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0.29170274265207263
polygon,avalanche_c,29.7375,29.7591191625,0xeadab8d8f8e31f05e670baa887f3ed28ef11235ccb561dfd0eec7ee9703273b9,31951975,0x24c1e4a8a8bc41e291175e6039cea76d180ed38c,0x5bd9cd03c5d2b169ee9531fdda9a37d9c43a71a4884d6e53468469312a2ef33d,31953227,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0.0,0xe3b299dffce4ecb3f36a2b51d6f6a0815668305840f6499e88f9f2c7215fbdff,31953228,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31,0.0,0x2de994e172b4e844343363305e46a18971eac2e39f6f9a5f835479555e6cf231,31960217,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.029404254878899375
polygon,avalanche_c,77.209611,77.31994353411899,0x88ed195205846bf837dc1ecface81df586e7ff736d80046765557055fcd4f7eb,29131745,0xe0cb00a831ed56d132fa82e074ff84b9803eb5c9,0x687e79261dae30690b0f221ba1f2ec2fec2f39f93c6397104d734e8ffb395a80,29132071,0xc7198437980c041c805a1edcba50c1ce5db95118,0.0,0xb0720ebf8a3caa1a7a3d278092e82126ec129061c729045cab516a52c1eb9faf,29132083,0x82e0b8cdd80af5930c4452c684e71c861148ec8a,0.0,0x09de118b3ffe9c9f6d7401f0fa09e3f1674062cc8cf8d9e7dc158b62e0686d65,29344796,0xd1c3f94de7e5b45fa4edbba472491a9f4b166fc4,0.0
polygon,avalanche_c,200,200.2072,0x40c6d12e1986d1e52bfe3a5fb9227d908e1165506de166611efc4bfe36b6a5b6,8898351,0x8658f6780987f93d4de518562b0735df4c24e415,0xe32a421f2507e2b8545aa2dc0992688e37e6fefebec52bc75b543f6d8cd22ae7,8898517,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0.0,0x9387b7344f0db9e9cdb4ccf701414c0426b1d6f298679267155c6d70a4b27d48,8942437,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0.0,0x6fcb80fabe38914720194ffd3736df59627403de8ae8676750db3b5b2f87e7d9,8942448,0x31efc4aeaa7c39e54a33fdc3c46ee2bd70ae0a09,0.0
polygon,avalanche_c,156.6175,156.7554800175,0xf30b800aff9f06186a5743ef1c917debf264ddee74ad67952f7f52cede4bc706,30530283,0x43f4d898347b158eea2d458a5d79f439483ac470,0x49e8f74e4af49b72a30bedd7f7dcc17adaaf1ea94b0405ea2247b3e09d5fc003,30841481,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,8.8,0x48ec8c70c3a231ef5c29b73c2f5f8c3d52185dcb4611e384fc82a1db2d450bf7,30841494,0x152b9d0fdc40c096757f570a51e494bd4b943e50,0.0,0x8f06fab87cb82789e2ed7a85947c9d96eeaeb601e4ecfbc9362b1230c0195a4c,30841573,0x2297aebd383787a160dd0d9f71508148769342e3,0.05135913910800229
