deposit_chain,deposit_chain_id,withdrawal_chain,withdrawal_chain_id,bridge_name,bridge_version,deposit_block_date,deposit_block_time,deposit_block_number,withdrawal_block_date,withdrawal_block_time,withdrawal_block_number,deposit_amount_raw,deposit_amount,withdrawal_amount_raw,withdrawal_amount,amount_usd,sender,recipient,deposit_token_standard,withdrawal_token_standard,deposit_token_address,withdrawal_token_address,deposit_tx_from,deposit_tx_hash,withdrawal_tx_hash,bridge_transfer_id,duplicate_index
base,,hyperliquid,9029,Orbiter,1,2025-11-16 00:00:00.000 UTC,2025-11-16 10:53:31.000 UTC,38250532,,,,262879029,262.879029,,,263.111151182607,0x9c4d592042f959254485d443bbc337d29572264f,0x9c4d592042f959254485d443bbc337d29572264f,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0x9c4d592042f959254485d443bbc337d29572264f,0xbd3a807cf78200aaaed21a2028046967a201952b1fe09edbfd95632daa90700f,,5e534519b77fdac20a96590e90fed70c,1
base,,hyperliquid,9029,Orbiter,1,2025-09-20 00:00:00.000 UTC,2025-09-20 03:16:15.000 UTC,35774414,,,,200309029,200.309029,,,200.34488431619098,0xf9d6163c9f4512d3c29d202e20668f22842a5f27,0xf9d6163c9f4512d3c29d202e20668f22842a5f27,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0xf9d6163c9f4512d3c29d202e20668f22842a5f27,0x82f4a7e3d036a6f399f7b572c073d47f5dda9ac3c0faac1005d08738034b9a6f,,ae76f236b7d2d16da849491aac4abe0e,1
base,,hyperliquid,9029,Orbiter,1,2025-09-18 00:00:00.000 UTC,2025-09-18 18:08:51.000 UTC,35714792,,,,2709029,2.709029,,,2.708284017025,0x6eb875b89bb0c5c4dd4158cf279bb34e2f915ef8,0x6eb875b89bb0c5c4dd4158cf279bb34e2f915ef8,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0x6eb875b89bb0c5c4dd4158cf279bb34e2f915ef8,0xffe19a7a16f6a8573811208c8e452124285929c501b2327811622d2256793211,,230f28eb036887672112c30e53551fea,1
base,,hyperliquid,9029,Orbiter,1,2025-10-10 00:00:00.000 UTC,2025-10-10 11:01:55.000 UTC,36652384,,,,477209029,477.209029,,,477.201870864565,0xf238d3743fb599b80904f4f4082fc5b67e0d647a,0xf238d3743fb599b80904f4f4082fc5b67e0d647a,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0xf238d3743fb599b80904f4f4082fc5b67e0d647a,0x1a94abbf02b419e696d67dfb48e42834f8e0bfbb29686e893695aadc9b7d2ce7,,9298fdd3591f65424f75dae99fea7633,1
base,,hyperliquid,9029,Orbiter,1,2025-09-26 00:00:00.000 UTC,2025-09-26 14:54:49.000 UTC,36054571,,,,998909029,998.909029,,,999.0518729911471,0x20f4f557430d1cd4c3ae235a64ccb83bd3846d01,0x20f4f557430d1cd4c3ae235a64ccb83bd3846d01,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0x20f4f557430d1cd4c3ae235a64ccb83bd3846d01,0xbfc1ba37e02a64e2d573647a93f2237636efbaa4e467a2c0577f362ea1b58155,,573861be71236983c079c8649cabc322,1
base,,hyperliquid,9029,Orbiter,1,2025-09-23 00:00:00.000 UTC,2025-09-23 02:39:49.000 UTC,35902921,,,,21209029,21.209029,,,21.212825416190995,0x425df118975af86fea2a8451f4ff61c3e703f55d,0x425df118975af86fea2a8451f4ff61c3e703f55d,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0x425df118975af86fea2a8451f4ff61c3e703f55d,0x110432260efe117b0696cd7988fd65589f7a98a37853780611c463863720add4,,833311b27eee4ee2266ba182ef81fcf1,1
base,,hyperliquid,9029,Orbiter,1,2025-08-28 00:00:00.000 UTC,2025-08-28 17:35:45.000 UTC,34806599,,,,436309029,436.309029,,,436.57954059798004,0xc4a44a7dbdf3a326cb9333ea47d17cb2e3b648c9,0xc4a44a7dbdf3a326cb9333ea47d17cb2e3b648c9,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0xc4a44a7dbdf3a326cb9333ea47d17cb2e3b648c9,0x0404343af63ca72030d694d58d8530b607f5f60b7dda89989f20de952afca34f,,fc680d675a8599271da1bffdcdbf8782,1
base,,hyperliquid,9029,Orbiter,1,2025-10-11 00:00:00.000 UTC,2025-10-11 13:14:47.000 UTC,36699570,,,,3341309029,3341.309029,,,3343.644604011271,0xbec5f1d8169baadd44268c7b1b9489a1d68ea14d,0xbec5f1d8169baadd44268c7b1b9489a1d68ea14d,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0xbec5f1d8169baadd44268c7b1b9489a1d68ea14d,0xb9c4faf7155a16a1bb57da334e0236c23b9c7dff503c67e1e33cd63075b2e3a9,,5ff742b7c104535bdbb459132d6098cf,1
base,,hyperliquid,9029,Orbiter,1,2025-10-23 00:00:00.000 UTC,2025-10-23 07:09:01.000 UTC,37206997,,,,142449029,142.449029,,,142.547033931952,0x7ddeb225c526f4615fdbcc1804c8d3047d0560c4,0x7ddeb225c526f4615fdbcc1804c8d3047d0560c4,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0x7ddeb225c526f4615fdbcc1804c8d3047d0560c4,0x056c38e80252dce0ab5b3e30dc49f6e0fdd1775cc376318079b8009557bfe40f,,cce3662dfc3b0defef9834d9256e70a5,1
base,,hyperliquid,9029,Orbiter,1,2024-11-23 00:00:00.000 UTC,2024-11-23 17:30:25.000 UTC,22796839,,,,340465862716819000,0.340465862716819,,,1167.4404199628366,0x13e46b2a3f8512ed4682a8fb8b560589fe3c2172,0x13e46b2a3f8512ed4682a8fb8b560589fe3c2172,native,,0x0000000000000000000000000000000000000000,,0x7c2d64777909fd314c96e27c0e718803fddad701,0x1d6dc646a1bd4bc3745066f4dbb2f70a61636c5bae838bd52f69d80f095cc981,,954416dc5a9de6fb1755a157664301ac,1
base,,hyperliquid,9029,Orbiter,1,2025-08-01 00:00:00.000 UTC,2025-08-01 22:44:55.000 UTC,33649474,,,,1000109029,1000.109029,,,1000.8901141516488,0xe0bc00ed0d9b382f104fc77782fcd34bd0b45c39,0xe0bc00ed0d9b382f104fc77782fcd34bd0b45c39,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0xe0bc00ed0d9b382f104fc77782fcd34bd0b45c39,0x94faea52edad1cfe861b95705151775f734db3d0cbc34a8f2140ec59c7ef4b36,,fde709628faac8d62670be3c0cb68081,1
base,,hyperliquid,9029,Orbiter,1,2025-09-04 00:00:00.000 UTC,2025-09-04 10:34:55.000 UTC,35096374,,,,13609029,13.609029,,,13.609042609028998,0xdeec73349894a02ea898d9c6f48fe338bf8ff8cf,0xdeec73349894a02ea898d9c6f48fe338bf8ff8cf,erc20,,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,0xdeec73349894a02ea898d9c6f48fe338bf8ff8cf,0x77a4bce88ec7ea162784dab23a78e8534a5c911b83f9c01dcc2b4bb5ff30e401,,9dc181094227f41906d6430cb23306f2,1
